ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret
1785575951.417060141,0,0,0,0,0,0,0,0,0,0,0,0,417441423,377010712,0,0,0,0,0,0,0,0,0
1785575952.438350088,0,0,0,0,0,0,0,0,0,0,0,0,417444486,377013759,0,0,0,0,0,0,0,0,0
1785575953.459081559,0,0,0,0,0,0,0,0,0,0,0,0,417447547,377016805,0,0,0,0,0,0,0,0,0
1785575954.480753844,0,0,0,0,0,0,0,0,0,0,0,0,417450610,377019816,0,0,0,0,0,0,0,0,0
1785575955.501846170,0,0,0,0,0,0,0,0,0,0,0,0,417453671,377022830,0,0,0,0,0,0,0,0,0
1785575956.521988193,0,0,0,0,0,0,0,0,0,0,0,0,417456730,377025857,0,0,0,0,0,0,0,0,0
1785575957.543687844,0,0,0,0,0,0,0,0,0,0,0,0,417459796,377028856,0,0,0,0,0,0,0,0,0
1785575958.564724172,0,0,0,0,0,0,0,0,0,0,0,0,417462859,377031904,0,0,0,0,0,0,0,0,0
1785575959.585200883,0,0,0,0,0,0,0,0,0,0,0,0,417465919,377034951,0,0,0,0,0,0,0,0,0
1785575960.606554431,0,0,0,0,0,0,0,0,0,0,0,0,417468985,377037925,0,0,0,0,0,0,0,0,0
1785575961.627935712,0,0,0,0,0,0,0,0,0,0,0,0,417472047,377040957,0,0,0,0,0,0,0,0,0
1785575962.649781763,0,0,0,0,0,0,0,0,0,0,0,0,417475108,377043973,0,0,0,0,0,0,0,0,0
1785575963.671346665,0,0,0,0,0,0,0,0,0,0,0,0,417478175,377046986,0,0,0,0,0,0,0,0,0
1785575964.693320241,0,0,0,0,0,0,0,0,0,0,0,0,417481239,377050038,0,0,0,0,0,0,0,0,0
1785575965.715077976,0,0,0,0,0,0,0,0,0,0,0,0,417484305,377053088,0,0,0,0,0,0,0,0,0
1785575966.735922883,0,0,0,0,0,0,0,0,0,0,0,0,417487366,377056069,0,0,0,0,0,0,0,0,0
1785575967.757310956,0,0,0,0,0,0,0,0,0,0,0,0,417490428,377059116,0,0,0,0,0,0,0,0,0
1785575968.779159162,0,0,0,0,0,0,0,0,0,0,0,0,417493491,377062116,0,0,0,0,0,0,0,0,0
1785575969.802303986,0,0,0,0,0,0,0,0,0,0,0,0,417496556,377065149,0,0,0,0,0,0,0,0,0
1785575970.825456893,0,0,0,0,0,0,0,0,0,0,0,0,417499628,377068184,0,0,0,0,0,0,0,0,0
1785575971.847446207,0,0,0,0,0,0,0,0,0,0,0,0,417502695,377071218,0,0,0,0,0,0,0,0,0
1785575972.869574873,0,0,0,0,0,0,0,0,0,0,0,0,417505758,377074217,0,0,0,0,0,0,0,0,0
1785575973.890966011,0,0,0,0,0,0,0,0,0,0,0,0,417508822,377077266,0,0,0,0,0,0,0,0,0
1785575974.911354700,0,0,0,0,0,0,0,0,0,0,0,0,417511880,377080242,0,0,0,0,0,0,0,0,0
1785575975.932929690,0,0,0,0,0,0,0,0,0,0,0,0,417514944,377083292,0,0,0,0,0,0,0,0,0
1785575976.954570226,0,0,0,0,0,0,0,0,0,0,0,0,417518009,377086341,0,0,0,0,0,0,0,0,0
1785575977.976309880,0,0,0,0,0,0,0,0,0,0,0,0,417521072,377089356,0,0,0,0,0,0,0,0,0
1785575978.999040806,0,0,0,0,0,0,0,0,0,0,0,0,417524137,377092373,0,0,0,0,0,0,0,0,0
1785575980.022001607,0,0,0,0,0,0,0,0,0,0,0,0,417527204,377095419,0,0,0,0,0,0,0,0,0
1785575981.040280680,0,0,0,0,0,0,0,0,0,0,0,0,417530257,377098349,0,0,0,0,0,0,0,0,0
1785575982.064235032,0,0,0,0,0,0,0,0,0,0,0,0,417533328,377101403,0,0,0,0,0,0,0,0,0
1785575983.084662523,0,0,0,0,0,0,0,0,0,0,0,0,417536387,377104449,0,0,0,0,0,0,0,0,0
1785575984.105809686,0,0,0,0,0,0,0,0,0,0,0,0,417539454,377107451,0,0,0,0,0,0,0,0,0
1785575985.127933844,0,0,0,0,0,0,0,0,0,0,0,0,417542518,377110487,0,0,0,0,0,0,0,0,0
1785575986.148181694,0,0,0,0,0,0,0,0,0,0,0,0,417545581,377113530,0,0,0,0,0,0,0,0,0
1785575987.168862623,0,0,0,0,0,0,0,0,0,0,0,0,417548641,377116499,0,0,0,0,0,0,0,0,0
1785575988.190422013,0,0,0,0,0,0,0,0,0,0,0,0,417551705,377119539,0,0,0,0,0,0,0,0,0
1785575989.208900880,0,0,0,0,0,0,0,0,0,0,0,0,417554760,377122581,0,0,0,0,0,0,0,0,0
1785575990.228142896,0,0,0,0,0,0,0,0,0,0,0,0,417557817,377125556,0,0,0,0,0,0,0,0,0
1785575991.249493077,0,0,0,0,0,0,0,0,0,0,0,0,417560880,377128580,0,0,0,0,0,0,0,0,0
1785575992.270956368,0,0,0,0,0,0,0,0,0,0,0,0,417563945,377131629,0,0,0,0,0,0,0,0,0
1785575993.292764849,0,0,0,0,0,0,0,0,0,0,0,0,417567005,377134611,0,0,0,0,0,0,0,0,0
1785575994.314741413,0,0,0,0,0,0,0,0,0,0,0,0,417570071,377137660,0,0,0,0,0,0,0,0,0
1785575995.336344856,0,0,0,0,0,0,0,0,0,0,0,0,417573134,377140697,0,0,0,0,0,0,0,0,0
1785575996.358861987,0,0,0,0,0,0,0,0,0,0,0,0,417576200,377143697,0,0,0,0,0,0,0,0,0
1785575997.380740199,0,0,0,0,0,0,0,0,0,0,0,0,417579265,377146746,0,0,0,0,0,0,0,0,0
1785575998.403016895,0,0,0,0,0,0,0,0,0,0,0,0,417582330,377149775,0,0,0,0,0,0,0,0,0
1785575999.423314548,0,0,0,0,0,0,0,0,0,0,0,0,417585391,377152772,0,0,0,0,0,0,0,0,0
1785576000.445580939,0,0,0,0,0,0,0,0,0,0,0,0,417588455,377155821,0,0,0,0,0,0,0,0,0
1785576001.466876012,0,0,0,0,0,0,0,0,0,0,0,0,417591518,377158813,0,0,0,0,0,0,0,0,0
1785576002.489508131,0,0,0,0,0,0,0,0,0,0,0,0,417594584,377161827,0,0,0,0,0,0,0,0,0
