ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785577517.537423569,0,0,0,0,0,0,0,0,0,0,0,0,422134149,380817846,0,0,0,0,0,0,0,0,0,0,0
1785577518.556514786,0,0,0,0,0,0,0,0,0,0,0,0,422137203,380820840,0,0,0,0,0,0,0,0,0,0,0
1785577519.576114526,0,0,0,0,0,0,0,0,0,0,0,0,422140262,380823865,0,0,0,0,0,0,0,0,0,0,0
1785577520.598070174,0,0,0,0,0,0,0,0,0,0,0,0,422143324,380826889,0,0,0,0,0,0,0,0,0,0,0
1785577521.619217989,0,0,0,0,0,0,0,0,0,0,0,0,422146389,380829881,0,0,0,0,0,0,0,0,0,0,0
1785577522.641391585,0,0,0,0,0,0,0,0,0,0,0,0,422149455,380832918,0,0,0,0,0,0,0,0,0,0,0
1785577523.663990744,0,0,0,0,0,0,0,0,0,0,0,0,422152520,380835970,0,0,0,0,0,0,0,0,0,0,0
1785577524.686445968,0,0,0,0,0,0,0,0,0,0,0,0,422155583,380838957,0,0,0,0,0,0,0,0,0,0,0
1785577525.709725878,0,0,0,0,0,0,0,0,0,0,0,0,422158652,380842004,0,0,0,0,0,0,0,0,0,0,0
1785577526.729134529,0,0,0,0,0,0,0,0,0,0,0,0,422161714,380845049,0,0,0,0,0,0,0,0,0,0,0
1785577527.749152298,0,0,0,0,0,0,0,0,0,0,0,0,422164770,380848022,0,0,0,0,0,0,0,0,0,0,0
1785577528.771937301,0,0,0,0,0,0,0,0,0,0,0,0,422167837,380851074,0,0,0,0,0,0,0,0,0,0,0
1785577529.794344029,0,0,0,0,0,0,0,0,0,0,0,0,422170904,380854119,0,0,0,0,0,0,0,0,0,0,0
1785577530.817276403,0,0,0,0,0,0,0,0,0,0,0,0,422173970,380857041,0,0,0,0,0,0,0,0,0,0,0
1785577531.839443149,0,0,0,0,0,0,0,0,0,0,0,0,422177036,380860078,0,0,0,0,0,0,0,0,0,0,0
1785577532.861771667,0,0,0,0,0,0,0,0,0,0,0,0,422180100,380863110,0,0,0,0,0,0,0,0,0,0,0
1785577533.883413747,0,0,0,0,0,0,0,0,0,0,0,0,422183164,380866111,0,0,0,0,0,0,0,0,0,0,0
1785577534.906239021,0,0,0,0,0,0,0,0,0,0,0,0,422186233,380869163,0,0,0,0,0,0,0,0,0,0,0
1785577535.929638648,0,0,0,0,0,0,0,0,0,0,0,0,422189301,380872215,0,0,0,0,0,0,0,0,0,0,0
1785577536.951215009,0,0,0,0,0,0,0,0,0,0,0,0,422192364,380875195,0,0,0,0,0,0,0,0,0,0,0
1785577537.974882848,0,0,0,0,0,0,0,0,0,0,0,0,422195433,380878249,0,0,0,0,0,0,0,0,0,0,0
1785577538.996056403,0,0,0,0,0,0,0,0,0,0,0,0,422198495,380881262,0,0,0,0,0,0,0,0,0,0,0
1785577540.018178844,0,0,0,0,0,0,0,0,0,0,0,0,422201560,380884277,0,0,0,0,0,0,0,0,0,0,0
1785577541.040853684,0,0,0,0,0,0,0,0,0,0,0,0,422204626,380887304,0,0,0,0,0,0,0,0,0,0,0
1785577542.063325128,0,0,0,0,0,0,0,0,0,0,0,0,422207692,380890339,0,0,0,0,0,0,0,0,0,0,0
1785577543.087235859,0,0,0,0,0,0,0,0,0,0,0,0,422210766,380893344,0,0,0,0,0,0,0,0,0,0,0
1785577544.109769686,0,0,0,0,0,0,0,0,0,0,0,0,422213833,380896394,0,0,0,0,0,0,0,0,0,0,0
1785577545.131451271,0,0,0,0,0,0,0,0,0,0,0,0,422216896,380899390,0,0,0,0,0,0,0,0,0,0,0
1785577546.153790717,0,0,0,0,0,0,0,0,0,0,0,0,422219963,380902425,0,0,0,0,0,0,0,0,0,0,0
1785577547.176950164,0,0,0,0,0,0,0,0,0,0,0,0,422223031,380905478,0,0,0,0,0,0,0,0,0,0,0
1785577548.200151997,0,0,0,0,0,0,0,0,0,0,0,0,422226099,380908498,0,0,0,0,0,0,0,0,0,0,0
1785577549.222361549,0,0,0,0,0,0,0,0,0,0,0,0,422229163,380911512,0,0,0,0,0,0,0,0,0,0,0
1785577550.244858493,0,0,0,0,0,0,0,0,0,0,0,0,422232231,380914564,0,0,0,0,0,0,0,0,0,0,0
1785577551.265914433,0,0,0,0,0,0,0,0,0,0,0,0,422235292,380917520,0,0,0,0,0,0,0,0,0,0,0
1785577552.284347504,0,0,0,0,0,0,0,0,0,0,0,0,422238346,380920560,0,0,0,0,0,0,0,0,0,0,0
1785577553.306708135,0,0,0,0,0,0,0,0,0,0,0,0,422241412,380923610,0,0,0,0,0,0,0,0,0,0,0
1785577554.327548399,0,0,0,0,0,0,0,0,0,0,0,0,422244473,380926606,0,0,0,0,0,0,0,0,0,0,0
1785577555.348223142,0,0,0,0,0,0,0,0,0,0,0,0,422247534,380929636,0,0,0,0,0,0,0,0,0,0,0
1785577556.365776797,0,0,0,0,0,0,0,0,0,0,0,0,422250585,380932664,0,0,0,0,0,0,0,0,0,0,0
1785577557.387030775,0,0,0,0,0,0,0,0,0,0,0,0,422253647,380935651,0,0,0,0,0,0,0,0,0,0,0
1785577558.408732529,0,0,0,0,0,0,0,0,0,0,0,0,422256712,380938701,0,0,0,0,0,0,0,0,0,0,0
1785577559.430635773,0,0,0,0,0,0,0,0,0,0,0,0,422259776,380941751,0,0,0,0,0,0,0,0,0,0,0
1785577560.452166982,0,0,0,0,0,0,0,0,0,0,0,0,422262837,380944731,0,0,0,0,0,0,0,0,0,0,0
1785577561.473112417,0,0,0,0,0,0,0,0,0,0,0,0,422265898,380947754,0,0,0,0,0,0,0,0,0,0,0
1785577562.495003351,0,0,0,0,0,0,0,0,0,0,0,0,422268962,380950777,0,0,0,0,0,0,0,0,0,0,0
1785577563.518370144,0,0,0,0,0,0,0,0,0,0,0,0,422272032,380953791,0,0,0,0,0,0,0,0,0,0,0
1785577564.540537411,0,0,0,0,0,0,0,0,0,0,0,0,422275098,380956841,0,0,0,0,0,0,0,0,0,0,0
1785577565.562885363,0,0,0,0,0,0,0,0,0,0,0,0,422278163,380959882,0,0,0,0,0,0,0,0,0,0,0
1785577566.585801727,0,0,0,0,0,0,0,0,0,0,0,0,422281231,380962877,0,0,0,0,0,0,0,0,0,0,0
1785577567.608932495,0,0,0,0,0,0,0,0,0,0,0,0,422284299,380965931,0,0,0,0,0,0,0,0,0,0,0
1785577568.629809216,0,0,0,0,0,0,0,0,0,0,0,0,422287362,380968929,0,0,0,0,0,0,0,0,0,0,0
1785577569.647827225,0,0,0,0,0,0,0,0,0,0,0,0,422290414,380971948,0,0,0,0,0,0,0,0,0,0,0
1785577570.669159462,0,0,0,0,0,0,0,0,0,0,0,0,422293478,380974997,0,0,0,0,0,0,0,0,0,0,0
