ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785580123.891296737,0,0,0,0,0,0,0,0,0,0,0,0,429885204,386676468,0,0,0,0,0,0,0,0,0,0,0
1785580124.913374640,0,0,0,0,0,0,0,0,0,0,0,0,429888268,386679496,0,0,0,0,0,0,0,0,0,0,0
1785580125.935240103,0,0,0,0,0,0,0,0,0,0,0,0,429891334,386682499,0,0,0,0,0,0,0,0,0,0,0
1785580126.956939946,0,0,0,0,0,0,0,0,0,0,0,0,429894399,386685474,0,0,0,0,0,0,0,0,0,0,0
1785580127.975557751,0,0,0,0,0,0,0,0,0,0,0,0,429897456,386688513,0,0,0,0,0,0,0,0,0,0,0
1785580128.996965434,0,0,0,0,0,0,0,0,0,0,0,0,429900518,386691559,0,0,0,0,0,0,0,0,0,0,0
1785580130.017649725,0,0,0,0,0,0,0,0,0,0,0,0,429903579,386694537,0,0,0,0,0,0,0,0,0,0,0
1785580131.038996551,0,0,0,0,0,0,0,0,0,0,0,0,429906643,386697585,0,0,0,0,0,0,0,0,0,0,0
1785580132.061393381,0,0,0,0,0,0,0,0,0,0,0,0,429909708,386700604,0,0,0,0,0,0,0,0,0,0,0
1785580133.082804989,0,0,0,0,0,0,0,0,0,0,0,0,429912773,386703617,0,0,0,0,0,0,0,0,0,0,0
1785580134.104316082,0,0,0,0,0,0,0,0,0,0,0,0,429915834,386706663,0,0,0,0,0,0,0,0,0,0,0
1785580135.126322640,0,0,0,0,0,0,0,0,0,0,0,0,429918900,386709709,0,0,0,0,0,0,0,0,0,0,0
1785580136.149258503,0,0,0,0,0,0,0,0,0,0,0,0,429921967,386712698,0,0,0,0,0,0,0,0,0,0,0
1785580137.171130856,0,0,0,0,0,0,0,0,0,0,0,0,429925031,386715726,0,0,0,0,0,0,0,0,0,0,0
1785580138.191670508,0,0,0,0,0,0,0,0,0,0,0,0,429928092,386718725,0,0,0,0,0,0,0,0,0,0,0
1785580139.214689767,0,0,0,0,0,0,0,0,0,0,0,0,429931156,386721755,0,0,0,0,0,0,0,0,0,0,0
1785580140.237063638,0,0,0,0,0,0,0,0,0,0,0,0,429934224,386724808,0,0,0,0,0,0,0,0,0,0,0
1785580141.256640936,0,0,0,0,0,0,0,0,0,0,0,0,429937285,386727830,0,0,0,0,0,0,0,0,0,0,0
1785580142.278317793,0,0,0,0,0,0,0,0,0,0,0,0,429940346,386730832,0,0,0,0,0,0,0,0,0,0,0
1785580143.300179181,0,0,0,0,0,0,0,0,0,0,0,0,429943409,386733881,0,0,0,0,0,0,0,0,0,0,0
1785580144.322901760,0,0,0,0,0,0,0,0,0,0,0,0,429946477,386736864,0,0,0,0,0,0,0,0,0,0,0
1785580145.346121738,0,0,0,0,0,0,0,0,0,0,0,0,429949545,386739917,0,0,0,0,0,0,0,0,0,0,0
1785580146.368518787,0,0,0,0,0,0,0,0,0,0,0,0,429952613,386742969,0,0,0,0,0,0,0,0,0,0,0
1785580147.389917233,0,0,0,0,0,0,0,0,0,0,0,0,429955674,386745955,0,0,0,0,0,0,0,0,0,0,0
1785580148.412646088,0,0,0,0,0,0,0,0,0,0,0,0,429958740,386748981,0,0,0,0,0,0,0,0,0,0,0
1785580149.434111026,0,0,0,0,0,0,0,0,0,0,0,0,429961804,386752023,0,0,0,0,0,0,0,0,0,0,0
1785580150.455795866,0,0,0,0,0,0,0,0,0,0,0,0,429964869,386755009,0,0,0,0,0,0,0,0,0,0,0
1785580151.477840213,0,0,0,0,0,0,0,0,0,0,0,0,429967934,386758058,0,0,0,0,0,0,0,0,0,0,0
1785580152.499569704,0,0,0,0,0,0,0,0,0,0,0,0,429970998,386761107,0,0,0,0,0,0,0,0,0,0,0
1785580153.520140856,0,0,0,0,0,0,0,0,0,0,0,0,429974056,386764095,0,0,0,0,0,0,0,0,0,0,0
1785580154.541530305,0,0,0,0,0,0,0,0,0,0,0,0,429977122,386767134,0,0,0,0,0,0,0,0,0,0,0
1785580155.563736166,0,0,0,0,0,0,0,0,0,0,0,0,429980187,386770156,0,0,0,0,0,0,0,0,0,0,0
1785580156.587038490,0,0,0,0,0,0,0,0,0,0,0,0,429983255,386773168,0,0,0,0,0,0,0,0,0,0,0
1785580157.609072439,0,0,0,0,0,0,0,0,0,0,0,0,429986320,386776196,0,0,0,0,0,0,0,0,0,0,0
1785580158.629911379,0,0,0,0,0,0,0,0,0,0,0,0,429989383,386779244,0,0,0,0,0,0,0,0,0,0,0
1785580159.649704701,0,0,0,0,0,0,0,0,0,0,0,0,429992441,386782220,0,0,0,0,0,0,0,0,0,0,0
1785580160.671852146,0,0,0,0,0,0,0,0,0,0,0,0,429995506,386785269,0,0,0,0,0,0,0,0,0,0,0
1785580161.692555356,0,0,0,0,0,0,0,0,0,0,0,0,429998569,386788266,0,0,0,0,0,0,0,0,0,0,0
1785580162.714750008,0,0,0,0,0,0,0,0,0,0,0,0,430001634,386791296,0,0,0,0,0,0,0,0,0,0,0
1785580163.737134435,0,0,0,0,0,0,0,0,0,0,0,0,430004699,386794348,0,0,0,0,0,0,0,0,0,0,0
1785580164.758439640,0,0,0,0,0,0,0,0,0,0,0,0,430007763,386797377,0,0,0,0,0,0,0,0,0,0,0
1785580165.781252921,0,0,0,0,0,0,0,0,0,0,0,0,430010830,386800377,0,0,0,0,0,0,0,0,0,0,0
1785580166.801296675,0,0,0,0,0,0,0,0,0,0,0,0,430013892,386803422,0,0,0,0,0,0,0,0,0,0,0
1785580167.823544005,0,0,0,0,0,0,0,0,0,0,0,0,430016957,386806384,0,0,0,0,0,0,0,0,0,0,0
1785580168.843140025,0,0,0,0,0,0,0,0,0,0,0,0,430020013,386809426,0,0,0,0,0,0,0,0,0,0,0
1785580169.863321685,0,0,0,0,0,0,0,0,0,0,0,0,430023075,386812470,0,0,0,0,0,0,0,0,0,0,0
1785580170.885453407,0,0,0,0,0,0,0,0,0,0,0,0,430026140,386815488,0,0,0,0,0,0,0,0,0,0,0
1785580171.908033036,0,0,0,0,0,0,0,0,0,0,0,0,430029208,386818504,0,0,0,0,0,0,0,0,0,0,0
1785580172.927808657,0,0,0,0,0,0,0,0,0,0,0,0,430032268,386821543,0,0,0,0,0,0,0,0,0,0,0
1785580173.949803965,0,0,0,0,0,0,0,0,0,0,0,0,430035330,386824531,0,0,0,0,0,0,0,0,0,0,0
1785580174.971989463,0,0,0,0,0,0,0,0,0,0,0,0,430038398,386827583,0,0,0,0,0,0,0,0,0,0,0
1785580175.994385199,0,0,0,0,0,0,0,0,0,0,0,0,430041463,386830633,0,0,0,0,0,0,0,0,0,0,0
1785580177.015519808,0,0,0,0,0,0,0,0,0,0,0,0,430044526,386833631,0,0,0,0,0,0,0,0,0,0,0
1785580178.038100420,0,0,0,0,0,0,0,0,0,0,0,0,430047589,386836639,0,0,0,0,0,0,0,0,0,0,0
1785580179.059748410,0,0,0,0,0,0,0,0,0,0,0,0,430050653,386839662,0,0,0,0,0,0,0,0,0,0,0
1785580180.081738497,0,0,0,0,0,0,0,0,0,0,0,0,430053721,386842667,0,0,0,0,0,0,0,0,0,0,0
1785580181.101448374,0,0,0,0,0,0,0,0,0,0,0,0,430056783,386845716,0,0,0,0,0,0,0,0,0,0,0
1785580182.121146350,0,0,0,0,0,0,0,0,0,0,0,0,430059836,386848755,0,0,0,0,0,0,0,0,0,0,0
1785580183.140520573,0,0,0,0,0,0,0,0,0,0,0,0,430062893,386851728,0,0,0,0,0,0,0,0,0,0,0
1785580184.162821063,0,0,0,0,0,0,0,0,0,0,0,0,430065958,386854759,0,0,0,0,0,0,0,0,0,0,0
1785580185.183582193,0,0,0,0,0,0,0,0,0,0,0,0,430069020,386857765,0,0,0,0,0,0,0,0,0,0,0
1785580186.205362371,0,0,0,0,0,0,0,0,0,0,0,0,430072085,386860793,0,0,0,0,0,0,0,0,0,0,0
1785580187.227553604,0,0,0,0,0,0,0,0,0,0,0,0,430075150,386863843,0,0,0,0,0,0,0,0,0,0,0
1785580188.250546912,0,0,0,0,0,0,0,0,0,0,0,0,430078216,386866880,0,0,0,0,0,0,0,0,0,0,0
1785580189.273872350,0,0,0,0,0,0,0,0,0,0,0,0,430081285,386869826,0,0,0,0,0,0,0,0,0,0,0
1785580190.295883062,0,0,0,0,0,0,0,0,0,0,0,0,430084350,386872877,0,0,0,0,0,0,0,0,0,0,0
1785580191.317253633,0,0,0,0,0,0,0,0,0,0,0,0,430087412,386875862,0,0,0,0,0,0,0,0,0,0,0
1785580192.339673649,0,0,0,0,0,0,0,0,0,0,0,0,430090479,386878905,0,0,0,0,0,0,0,0,0,0,0
1785580193.361666230,0,0,0,0,0,0,0,0,0,0,0,0,430093545,386881955,0,0,0,0,0,0,0,0,0,0,0
1785580194.384722492,0,0,0,0,0,0,0,0,0,0,0,0,430096614,386885004,0,0,0,0,0,0,0,0,0,0,0
1785580195.407047202,0,0,0,0,0,0,0,0,0,0,0,0,430099679,386887991,0,0,0,0,0,0,0,0,0,0,0
1785580196.429522225,0,0,0,0,0,0,0,0,0,0,0,0,430102745,386891040,0,0,0,0,0,0,0,0,0,0,0
1785580197.452010648,0,0,0,0,0,0,0,0,0,0,0,0,430105810,386894025,0,0,0,0,0,0,0,0,0,0,0
1785580198.473799409,0,0,0,0,0,0,0,0,0,0,0,0,430108875,386897074,0,0,0,0,0,0,0,0,0,0,0
1785580199.495906421,0,0,0,0,0,0,0,0,0,0,0,0,430111939,386900101,0,0,0,0,0,0,0,0,0,0,0
1785580200.517433676,0,0,0,0,0,0,0,0,0,0,0,0,430115003,386903121,0,0,0,0,0,0,0,0,0,0,0
1785580201.540159193,0,0,0,0,0,0,0,0,0,0,0,0,430118069,386906133,0,0,0,0,0,0,0,0,0,0,0
1785580202.563518187,0,0,0,0,0,0,0,0,0,0,0,0,430121137,386909166,0,0,0,0,0,0,0,0,0,0,0
1785580203.586978249,0,0,0,0,0,0,0,0,0,0,0,0,430124204,386912173,0,0,0,0,0,0,0,0,0,0,0
1785580204.609267059,0,0,0,0,0,0,0,0,0,0,0,0,430127271,386915225,0,0,0,0,0,0,0,0,0,0,0
1785580205.629975654,0,0,0,0,0,0,0,0,0,0,0,0,430130331,386918272,0,0,0,0,0,0,0,0,0,0,0
1785580206.649785744,0,0,0,0,0,0,0,0,0,0,0,0,430133390,386921268,0,0,0,0,0,0,0,0,0,0,0
1785580207.670296985,0,0,0,0,0,0,0,0,0,0,0,0,430136450,386924293,0,0,0,0,0,0,0,0,0,0,0
1785580208.691828724,0,0,0,0,0,0,0,0,0,0,0,0,430139512,386927303,0,0,0,0,0,0,0,0,0,0,0
1785580209.713879013,0,0,0,0,0,0,0,0,0,0,0,0,430142579,386930302,0,0,0,0,0,0,0,0,0,0,0
1785580210.736850110,0,0,0,0,0,0,0,0,0,0,0,0,430145646,386933355,0,0,0,0,0,0,0,0,0,0,0
1785580211.759957374,0,0,0,0,0,0,0,0,0,0,0,0,430148714,386936409,0,0,0,0,0,0,0,0,0,0,0
1785580212.780827664,0,0,0,0,0,0,0,0,0,0,0,0,430151774,386939389,0,0,0,0,0,0,0,0,0,0,0
1785580213.802677581,0,0,0,0,0,0,0,0,0,0,0,0,430154837,386942438,0,0,0,0,0,0,0,0,0,0,0
1785580214.824154378,0,0,0,0,0,0,0,0,0,0,0,0,430157898,386945428,0,0,0,0,0,0,0,0,0,0,0
1785580215.846571160,0,0,0,0,0,0,0,0,0,0,0,0,430160964,386948468,0,0,0,0,0,0,0,0,0,0,0
1785580216.869210059,0,0,0,0,0,0,0,0,0,0,0,0,430164032,386951520,0,0,0,0,0,0,0,0,0,0,0
1785580217.891429517,0,0,0,0,0,0,0,0,0,0,0,0,430167097,386954566,0,0,0,0,0,0,0,0,0,0,0
1785580218.911227605,0,0,0,0,0,0,0,0,0,0,0,0,430170155,386957547,0,0,0,0,0,0,0,0,0,0,0
1785580219.933122328,0,0,0,0,0,0,0,0,0,0,0,0,430173219,386960572,0,0,0,0,0,0,0,0,0,0,0
1785580220.955302380,0,0,0,0,0,0,0,0,0,0,0,0,430176281,386963555,0,0,0,0,0,0,0,0,0,0,0
1785580221.978226958,0,0,0,0,0,0,0,0,0,0,0,0,430179350,386966608,0,0,0,0,0,0,0,0,0,0,0
1785580223.000807637,0,0,0,0,0,0,0,0,0,0,0,0,430182417,386969660,0,0,0,0,0,0,0,0,0,0,0
1785580224.022853804,0,0,0,0,0,0,0,0,0,0,0,0,430185479,386972685,0,0,0,0,0,0,0,0,0,0,0
1785580225.045382964,0,0,0,0,0,0,0,0,0,0,0,0,430188545,386975693,0,0,0,0,0,0,0,0,0,0,0
1785580226.067741516,0,0,0,0,0,0,0,0,0,0,0,0,430191609,386978729,0,0,0,0,0,0,0,0,0,0,0
1785580227.090532499,0,0,0,0,0,0,0,0,0,0,0,0,430194675,386981728,0,0,0,0,0,0,0,0,0,0,0
1785580228.112864917,0,0,0,0,0,0,0,0,0,0,0,0,430197742,386984779,0,0,0,0,0,0,0,0,0,0,0
1785580229.135355838,0,0,0,0,0,0,0,0,0,0,0,0,430200808,386987830,0,0,0,0,0,0,0,0,0,0,0
1785580230.157001973,0,0,0,0,0,0,0,0,0,0,0,0,430203873,386990811,0,0,0,0,0,0,0,0,0,0,0
1785580231.179941243,0,0,0,0,0,0,0,0,0,0,0,0,430206941,386993842,0,0,0,0,0,0,0,0,0,0,0
1785580232.198888467,0,261717,0,0,0,0,0,262093,36943,657500,0,0,430209922,386996164,0,0,0,262960,60484,846900,0,22012,1576,0,0
1785580233.212296867,0,1000064,0,0,0,0,0,1000064,28636,535100,0,0,430212751,386997922,0,0,0,1000064,50290,798500,0,21001,651,0,0
1785580234.231967277,0,1000064,0,0,0,0,0,1000064,28636,535100,0,0,430215806,387000963,0,0,0,1000064,50290,798500,0,21001,651,0,0
1785580235.254146064,0,1000064,0,0,0,0,0,1000064,28636,535100,0,0,430218868,387004013,0,0,0,1000064,50290,798500,0,21001,651,0,0
1785580236.276201570,0,1000064,0,0,0,0,0,1000064,28636,535100,0,0,430221931,387007000,0,0,0,1000064,50290,798500,0,21001,651,0,0
1785580237.298736201,0,1000064,0,0,0,0,0,1000064,28636,535100,0,0,430224998,387010044,0,0,0,1000064,50290,798500,0,21001,651,0,0
1785580238.328142102,2197910,1000064,2197910,0,2200903,13105,50800,1000064,28636,535100,0,0,430228087,387011881,2210385,22554,85900,1000064,50290,798500,9480,21001,651,0,628860
1785580239.356181148,8565178,1000064,8565178,0,8567663,12421,48200,1000064,28636,535100,0,0,430231170,387011886,8574595,21385,78500,1000064,50290,798500,8968,21001,651,0,2447419
1785580240.384082572,14793833,1000064,14793833,0,14796293,12356,47500,1000064,28636,535100,0,0,430234248,387011897,14803848,21298,77600,1000064,50290,798500,8944,21001,651,0,4229965
1785580241.409274946,21130955,1000064,21130955,0,21132995,12300,47300,1000064,28636,535100,0,0,430237323,387011901,21139717,21184,77200,1000064,50290,798500,8885,21001,651,0,6040658
1785580242.438346465,27388539,1000064,27388539,0,27390669,12322,47400,1000064,28636,535100,0,0,430240406,387011906,27397756,21203,77000,1000064,50290,798500,8882,21001,651,0,7828300
1785580243.466111128,33794040,1000064,33794040,0,33797014,12303,47300,1000064,28636,535100,0,0,430243490,387011908,33805703,21138,76600,1000064,50290,798500,8836,21001,651,0,9658654
1785580244.493800061,39918841,1000064,39918841,0,39921230,12325,47400,1000064,28636,535100,0,0,430246569,387011920,39928446,21194,76800,1000064,50290,798500,8870,21001,651,0,11410990
1785580245.519862239,46275311,1000064,46275311,0,46277670,12302,47200,1000064,28636,535100,0,0,430249648,387011942,46284715,21159,76500,1000064,50290,798500,8857,21001,651,0,13228698
1785580246.542393000,52676599,1000064,52676599,0,52678702,12291,47300,1000064,28636,535100,0,0,430252710,387011946,52686064,21117,76400,1000064,50290,798500,8826,21001,651,0,15058957
1785580247.568624108,59009615,1000064,59009615,0,59012213,12284,47300,1000064,28636,535100,0,0,430255787,387011953,59020384,21093,76300,1000064,50290,798500,8809,21001,651,0,16868562
1785580248.599797379,65207985,1000064,65207985,0,65211363,12291,47300,1000064,28636,535100,0,0,430258875,387011958,65220958,21122,76400,1000064,50290,798500,8830,21001,651,0,18641533
1785580249.643037259,71672832,1000064,71672832,0,71676946,12293,47300,1000064,28636,535100,0,0,430262006,387011960,71688487,21112,76400,1000064,50290,798500,8819,21001,651,0,20490902
1785580250.672113667,77792958,1000064,77792958,0,77795037,12314,47300,1000064,28636,535100,0,0,430265092,387011966,77802239,21160,76400,1000064,50290,798500,8845,21001,651,0,22241417
1785580251.705226546,84134579,1000064,84134579,0,84138574,12305,47300,1000064,28636,535100,0,0,430268184,387011971,84148030,21141,76400,1000064,50290,798500,8836,21001,651,0,24053088
1785580252.733893240,90610767,1000064,90610767,0,90613448,12296,47400,1000064,28636,535100,0,0,430271272,387011974,90622462,21114,76300,1000064,50290,798500,8817,21001,651,0,25902919
1785580253.761965561,96906101,1000064,96906101,0,96908978,12292,47400,1000064,28636,535100,0,0,430274354,387011977,96917488,21111,76300,1000064,50290,798500,8818,21001,651,0,27702556
1785580254.795398719,103250729,1000064,103250729,0,103253087,12289,47400,1000064,28636,535100,0,0,430277455,387011982,103260115,21106,76300,1000064,50290,798500,8817,21001,651,0,29515941
1785580255.822517984,109703343,1000064,109703343,0,109705815,12281,47400,1000064,28636,535100,0,0,430280533,387011992,109714747,21080,76200,1000064,50290,798500,8799,21001,651,0,31358484
1785580256.847417338,116013973,1000064,116013973,0,116016203,12284,47400,1000064,28636,535100,0,0,430283607,387011999,116024073,21080,76200,1000064,50290,798500,8796,21001,651,0,33160841
1785580257.871949387,122393505,1000064,122393505,0,122396394,12284,47400,1000064,28636,535100,0,0,430286679,387012004,122405077,21071,76200,1000064,50290,798500,8786,21001,651,0,34983192
1785580258.900566861,128828299,1000064,128828299,0,128830602,12278,47400,1000064,28636,535100,0,0,430289758,387012005,128838275,21053,76100,1000064,50290,798500,8774,21001,651,0,36821786
1785580259.925032527,135178001,1000064,135178001,0,135180834,12280,47400,1000064,28636,535100,0,0,430292832,387012008,135188513,21050,76100,1000064,50290,798500,8770,21001,651,0,38636947
1785580260.953817798,141492937,1000064,141492937,0,141496161,12281,47400,1000064,28636,535100,0,0,430295912,387012012,141505517,21051,76100,1000064,50290,798500,8769,21001,651,0,40440282
1785580261.982197967,147935463,1000064,147935463,0,147938818,12276,47400,1000064,28636,535100,0,0,430299000,387012017,147946720,21040,76100,1000064,50290,798500,8764,21001,651,0,42279546
1785580263.005945092,154145620,1000064,154145620,0,154147735,12280,47400,1000064,28636,535100,0,0,430302067,387012025,154154874,21050,76100,1000064,50290,798500,8769,21001,651,0,44053764
1785580264.036058697,160565054,1000064,160565054,0,160568564,12277,47400,1000064,28636,535100,0,0,430305157,387012028,160580870,21042,76000,1000064,50290,798500,8764,21001,651,0,45885850
1785580265.070381971,166999519,1000064,166999519,0,167002714,12274,47400,1000064,28636,535100,0,0,430308256,387012030,167013491,21035,76000,1000064,50290,798500,8760,21001,651,0,47723449
1785580266.097387351,173324629,1000064,173324629,0,173326883,12277,47400,1000064,28636,535100,0,0,430311338,387012033,173334279,21041,76000,1000064,50290,798500,8762,21001,651,0,49530580
1785580267.132757737,179667913,1000064,179667913,0,179671995,12274,47400,1000064,28636,535100,0,0,430314432,387012039,179682080,21039,76000,1000064,50290,798500,8764,21001,651,0,51342328
1785580268.150213403,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430317496,387012703,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580269.168761121,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430320543,387015680,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580270.191574226,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430323612,387018732,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580271.214243079,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430326678,387021759,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580272.236988888,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430329743,387024749,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580273.256877173,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430332806,387027792,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580274.274354421,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430335852,387030799,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580275.296845178,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430338917,387033806,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580276.319099636,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430341984,387036857,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580277.340436416,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430345047,387039902,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580278.362155671,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430348110,387042883,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580279.384545395,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430351175,387045933,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580280.409879928,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430354249,387048947,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580281.430684226,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430357312,387051947,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580282.453426078,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430360378,387054999,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580283.473200602,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430363436,387058018,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580284.496028510,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430366504,387061024,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580285.518574208,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430369571,387064075,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580286.541051127,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430372635,387067067,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580287.564231448,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430375702,387070107,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580288.587440466,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430378773,387073161,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580289.609856371,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430381837,387076171,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580290.631780335,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430384903,387079191,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580291.653861296,184776519,1000064,184776519,0,184776519,12269,47400,1000064,28636,535100,0,0,430387967,387082218,184776519,21025,76000,1000064,50290,798500,8755,21001,651,0,52797826
1785580292.679201127,186318493,1171454,186318493,0,186320122,12269,47400,1171924,26462,365000,0,0,430391037,387084172,186325393,21063,76200,1172492,45089,754400,8793,18027,606,0,53289536
1785580293.722427124,191502855,1747491,191502855,0,191505673,12253,47300,1748221,21797,197300,2,0,430394167,387084175,191512307,21124,76400,1748871,34604,615900,8871,12310,498,0,54943199
1785580294.757761157,196687946,2323614,196687946,0,196689765,12234,47300,2324162,19431,152800,6,0,430397269,387084177,196695910,21182,76600,2324840,29305,314700,8947,9430,445,0,56596195
