ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785578669.667408509,95031920,10559159,86031541,9000379,86097081,26097,63600,10560103,16511,51900,21666,9000379,425585852,383615374,86042364,308534,817200,10561288,18180,64300,282450,1417,250,391374075,0
1785578670.689446325,104125189,11569532,95124625,9000564,95196779,26146,63900,11570463,16444,51000,23874,9000564,425588915,383615398,95136669,309475,823800,11571765,18032,62300,283343,1340,245,435659054,0
1785578671.716723567,113452805,12605930,104452167,9000638,104531966,26152,64200,12606924,16356,50100,26246,9000638,425591984,383615404,104465327,309702,820800,12608334,17870,60500,283565,1273,240,481217159,0
1785578672.739923587,122647028,13627510,113646368,9000660,113732889,26162,64500,13628509,16297,49500,28471,9000660,425595052,383615419,113658486,309790,815700,13629701,17752,59200,283638,1217,237,525524706,0
1785578673.763546572,131698203,14633199,122697543,9000660,122791955,26201,65000,14634282,16265,49100,30820,9000660,425598117,383615436,122711033,310736,825600,14635616,17672,58200,284545,1170,235,569994290,0
1785578674.791036544,140967238,15663083,131966578,9000660,132066587,26192,65200,15664103,16220,48800,33022,9000660,425601192,383615447,131978410,310672,818700,15665357,17582,57300,284491,1128,232,614751074,0
1785578675.814483445,150042953,16671502,141042293,9000660,141148235,26200,65400,16672392,16198,48600,35246,9000660,425604256,383615480,141053311,311007,819300,16673695,17522,56600,284815,1092,230,658697220,0
1785578676.836291575,159230528,17692345,150229868,9000660,150342630,26206,65500,17693307,16161,48400,37551,9000660,425607314,383615502,150242402,311040,817600,17694631,17450,55900,284839,1060,228,703189496,0
1785578677.861539169,168596174,18732976,159595514,9000660,159716019,26192,65600,18733975,16113,48100,39845,9000660,425610387,383615507,159608315,310641,809400,18735272,17370,55200,284452,1030,225,748146275,0
1785578678.883705045,177679215,19742200,168678555,9000660,168805593,26201,65800,19743163,16096,48100,42077,9000660,425613444,383615545,168690553,310843,809200,19744403,17325,54700,284645,1004,224,792002452,0
1785578679.904060474,186901294,20766876,177900634,9000660,178034534,26198,66100,20767853,16071,48300,44389,9000660,425616499,383615555,177913182,310796,804400,20769084,17276,54300,284598,981,222,836382548,0
1785578680.926302835,196259326,21806657,187258666,9000660,187399849,26184,66000,21807671,16036,48100,46660,9000660,425619556,383615557,187271688,310525,799800,21808995,17216,53800,284341,959,220,881464952,0
1785578681.946160636,205264205,22807199,196263545,9000660,196410521,26204,66100,22808182,16028,47900,48945,9000660,425622611,383615590,196275003,311087,806600,22809507,17189,53400,284886,941,218,925859593,0
1785578682.968118841,214549632,23838912,205548972,9000660,205703294,26198,66100,23839966,16003,47800,51195,9000660,425625671,383615594,205562901,311052,806200,23841343,17144,53000,284855,923,217,971012313,0
1785578683.990127893,223820709,24869031,214820049,9000660,214982570,26195,66200,24870173,15980,47700,53537,9000660,425628730,383615600,214833887,310960,803800,24871522,17104,52700,284765,906,216,1015764996,0
1785578685.015824582,232895756,25877367,223895096,9000660,224063658,26207,66300,25878365,15975,47600,55836,9000660,425631799,383615642,223907537,311090,802200,25879616,17084,52400,284883,892,215,1059321374,0
1785578686.041728471,242126276,26902983,233125616,9000660,233301205,26205,66300,26903986,15960,47500,58088,9000660,425634872,383615659,233137266,311008,799400,26905223,17054,52100,284804,878,214,1103644575,0
1785578687.069617562,251285644,27920692,242284984,9000660,242467844,26217,66400,27921621,15950,47400,60568,9000660,425637953,383615697,242296296,311578,808700,27922894,17031,51800,285361,865,214,1149529696,0
1785578688.088731175,260230927,28914608,251230267,9000660,251419709,26233,66400,28915457,15951,47200,62908,9000660,425641005,383615744,251239657,312060,814700,28916465,17019,51500,285823,853,213,1193615375,0
1785578689.110915890,269561714,29951364,260561054,9000660,260757047,26225,66300,29952234,15929,47000,65250,9000660,425644062,383615749,260571433,311755,809600,29953274,16985,51200,285527,842,212,1238176103,0
1785578690.126131218,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425647114,383618602,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578691.144938592,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425650163,383621576,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578692.168474797,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425653231,383624627,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578693.195089313,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425656307,383627666,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
1785578694.217271094,270150925,30016827,261150265,9000660,261346468,26227,66300,30016827,15930,47000,65401,9000660,425659378,383630669,261150265,311752,809600,30016827,16985,51200,285515,842,212,1240906792,0
