ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785578160.395716444,0,0,0,0,0,0,0,0,0,0,0,0,424059726,382389100,0,0,0,0,0,0,0,0,0,0,0
1785578161.416543212,0,0,0,0,0,0,0,0,0,0,0,0,424062787,382392094,0,0,0,0,0,0,0,0,0,0,0
1785578162.439155271,0,0,0,0,0,0,0,0,0,0,0,0,424065855,382395126,0,0,0,0,0,0,0,0,0,0,0
1785578163.459773615,0,0,0,0,0,0,0,0,0,0,0,0,424068916,382398171,0,0,0,0,0,0,0,0,0,0,0
1785578164.480562975,0,0,0,0,0,0,0,0,0,0,0,0,424071981,382401154,0,0,0,0,0,0,0,0,0,0,0
1785578165.502861639,0,0,0,0,0,0,0,0,0,0,0,0,424075044,382404201,0,0,0,0,0,0,0,0,0,0,0
1785578166.525023517,0,0,0,0,0,0,0,0,0,0,0,0,424078110,382407253,0,0,0,0,0,0,0,0,0,0,0
1785578167.547038445,0,0,0,0,0,0,0,0,0,0,0,0,424081174,382410232,0,0,0,0,0,0,0,0,0,0,0
1785578168.569371885,0,0,0,0,0,0,0,0,0,0,0,0,424084242,382413285,0,0,0,0,0,0,0,0,0,0,0
1785578169.589263326,0,0,0,0,0,0,0,0,0,0,0,0,424087305,382416308,0,0,0,0,0,0,0,0,0,0,0
1785578170.611836616,0,0,0,0,0,0,0,0,0,0,0,0,424090367,382419289,0,0,0,0,0,0,0,0,0,0,0
1785578171.634168452,0,0,0,0,0,0,0,0,0,0,0,0,424093435,382422341,0,0,0,0,0,0,0,0,0,0,0
1785578172.655503501,0,0,0,0,0,0,0,0,0,0,0,0,424096498,382425382,0,0,0,0,0,0,0,0,0,0,0
1785578173.677867807,0,0,0,0,0,0,0,0,0,0,0,0,424099563,382428373,0,0,0,0,0,0,0,0,0,0,0
1785578174.700669308,0,0,0,0,0,0,0,0,0,0,0,0,424102629,382431425,0,0,0,0,0,0,0,0,0,0,0
1785578175.722219840,0,0,0,0,0,0,0,0,0,0,0,0,424105693,382434437,0,0,0,0,0,0,0,0,0,0,0
1785578176.743029871,0,0,0,0,0,0,0,0,0,0,0,0,424108753,382437451,0,0,0,0,0,0,0,0,0,0,0
1785578177.765403329,0,0,0,0,0,0,0,0,0,0,0,0,424111820,382440503,0,0,0,0,0,0,0,0,0,0,0
