ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields
1785949616.654712552,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646190667,622471854,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949617.677343786,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646193737,622474911,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949618.702045779,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646196807,622477849,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949619.728474691,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646199887,622480924,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949620.753567133,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646202961,622483991,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949621.780161652,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646206040,622487064,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949622.806640869,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646209119,622490139,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949623.827852213,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646212186,622493152,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949624.852816456,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646215253,622496135,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949625.877806419,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646218328,622499182,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949626.902888010,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646221401,622502251,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949627.927803013,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646224477,622505321,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949628.952954033,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646227551,622508391,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949629.975598964,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646230618,622511353,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949631.000847381,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646233693,622514382,0,0,0,1000064,53549,722700,0,22009,234,0,0
1785949632.025482832,0,1000064,0,0,0,0,0,1000064,31304,512000,0,0,646236766,622517451,0,0,0,1000064,53549,722700,0,22009,234,0,0
