ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields,srvc,srva,srvp50,srvp99,quec,quea,bkc,bka,rxfer,rcrypto,rsync,wxfer,wcrypto,wsync,rp50,wp50
1786000302.820738854,0,633211467,0,0,0,0,0,633206324,14126,40200,0,0,797513710,752520418,0,0,0,633206324,14805,41100,0,577,100,0,0,633218451,3727234,3276700,18446744073709551616,633218451,724970,633216989,3001241,0,0,0,8799,820,4028,0,12500
1786000303.853745685,0,633211467,0,0,0,0,0,633206324,14126,40200,0,0,797516806,752523489,0,0,0,633206324,14805,41100,0,577,100,0,0,633218453,3727234,3276700,18446744073709551616,633218453,724970,633216989,3001241,0,0,0,8799,820,4028,0,12500
1786000304.886099026,0,633211467,0,0,0,0,0,633206324,14126,40200,0,0,797519903,752526531,0,0,0,633206324,14805,41100,0,577,100,0,0,633218455,3727234,3276700,18446744073709551616,633218455,724970,633216989,3001241,0,0,0,8799,820,4028,0,12500
1786000305.916248724,0,633211467,0,0,0,0,0,633206324,14126,40200,0,0,797522993,752529517,0,0,0,633206324,14805,41100,0,577,100,0,0,633218457,3727234,3276700,18446744073709551616,633218457,724970,633216989,3001241,0,0,0,8799,820,4028,0,12500
1786000311.006381282,0,0,0,0,0,0,0,0,0,0,0,0,797538241,752544433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786000312.032035864,0,0,0,0,0,0,0,0,0,0,0,0,797541311,752547440,0,0,0,0,0,0,0,0,0,0,0,2,6487121,3276700,18446744073709551616,2,3201162,0,0,0,0,0,0,0,0,0,0
1786000313.061868878,0,0,0,0,0,0,0,0,0,0,0,0,797544399,752550523,0,0,0,0,0,0,0,0,0,0,0,4,4990029,3276700,18446744073709551616,4,2443601,0,0,0,0,0,0,0,0,0,0
1786000314.091271115,0,0,0,0,0,0,0,0,0,0,0,0,797547488,752553582,0,0,0,0,0,0,0,0,0,0,0,6,4498473,3276700,18446744073709551616,6,2202587,0,0,0,0,0,0,0,0,0,0
1786000315.122129555,0,0,0,0,0,0,0,0,0,0,0,0,797550580,752556669,0,0,0,0,0,0,0,0,0,0,0,8,4294133,3276700,18446744073709551616,8,2098028,0,0,0,0,0,0,0,0,0,0
1786000316.152142577,0,0,0,0,0,0,0,0,0,0,0,0,797553668,752559753,0,0,0,0,0,0,0,0,0,0,0,10,4123510,3276700,18446744073709551616,10,2012288,0,0,0,0,0,0,0,0,0,0
1786000317.182948481,0,0,0,0,0,0,0,0,0,0,0,0,797556760,752562722,0,0,0,0,0,0,0,0,0,0,0,12,4028692,3276700,18446744073709551616,12,1964480,0,0,0,0,0,0,0,0,0,0
1786000318.215289734,0,0,0,0,0,0,0,0,0,0,0,0,797559856,752565794,0,0,0,0,0,0,0,0,0,0,0,14,3960376,3276700,18446744073709551616,14,1928602,0,0,0,0,0,0,0,0,0,0
1786000319.242636096,0,0,0,0,0,0,0,0,0,0,0,0,797562940,752568873,0,0,0,0,0,0,0,0,0,0,0,16,3912685,3276700,18446744073709551616,16,1905679,0,0,0,0,0,0,0,0,0,0
1786000320.272036760,0,0,0,0,0,0,0,0,0,0,0,0,797566027,752571927,0,0,0,0,0,0,0,0,0,0,0,18,3861080,3276700,18446744073709551616,18,1880131,0,0,0,0,0,0,0,0,0,0
1786000321.302376518,0,0,0,0,0,0,0,0,0,0,0,0,797569116,752574968,0,0,0,0,0,0,0,0,0,0,0,22,3494163,3276700,18446744073709551616,22,1698917,0,0,0,0,0,0,0,0,0,0
1786000322.329917914,0,0,0,0,0,0,0,0,0,0,0,0,797572202,752578017,0,0,0,0,0,0,0,0,0,0,0,26,3241660,3276700,18446744073709551616,26,1570999,0,0,0,0,0,0,0,0,0,0
1786000323.363714231,0,0,0,0,0,0,0,0,0,0,0,0,797575299,752580961,0,0,0,0,0,0,0,0,0,0,0,28,3260043,3276700,18446744073709551616,28,1580736,0,0,0,0,0,0,0,0,0,0
1786000324.390179442,0,842461,0,0,0,0,0,843189,33877,576900,0,0,797578118,752582026,0,0,0,843714,58124,781700,0,23836,479,0,0,843908,439673,279600,2099900,844670,84784,845258,353459,0,0,0,30176,1990,22,0,10200
1786000325.538492195,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797581529,752585192,0,0,0,76838,23704,202000,0,8532,129,0,0,77090,195066,118600,1051300,77090,32934,77088,159871,0,0,0,14142,664,16,0,5000
1786000326.568566716,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797584618,752588258,0,0,0,76838,23704,202000,0,8532,129,0,0,77094,195325,118600,1051600,77094,33064,77088,159871,0,0,0,14142,664,16,0,5000
1786000327.600549852,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797587711,752591323,0,0,0,76838,23704,202000,0,8532,129,0,0,77098,195456,118600,1051700,77098,33130,77088,159871,0,0,0,14142,664,16,0,5000
1786000328.632820208,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797590810,752594347,0,0,0,76838,23704,202000,0,8532,129,0,0,77102,195724,118600,1052000,77102,33265,77088,159871,0,0,0,14142,664,16,0,5000
1786000329.664298787,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797593905,752597339,0,0,0,76838,23704,202000,0,8532,129,0,0,77104,195857,118600,1052000,77104,33331,77088,159871,0,0,0,14142,664,16,0,5000
1786000330.696059483,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797596996,752600426,0,0,0,76838,23704,202000,0,8532,129,0,0,77106,195985,118600,1052200,77106,33396,77088,159871,0,0,0,14142,664,16,0,5000
1786000331.728772125,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797600094,752603520,0,0,0,76838,23704,202000,0,8532,129,0,0,77108,196111,118600,1052200,77108,33459,77088,159871,0,0,0,14142,664,16,0,5000
1786000332.761608108,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797603192,752606612,0,0,0,76838,23704,202000,0,8532,129,0,0,77110,196244,118600,1052600,77110,33526,77088,159871,0,0,0,14142,664,16,0,5000
1786000333.794582986,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797606292,752609705,0,0,0,76838,23704,202000,0,8532,129,0,0,77112,196377,118600,1052700,77112,33593,77088,159871,0,0,0,14142,664,16,0,5000
1786000334.825724057,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797609383,752612641,0,0,0,76838,23704,202000,0,8532,129,0,0,77114,196506,118600,1052800,77114,33657,77088,159871,0,0,0,14142,664,16,0,5000
1786000335.857796225,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797612479,752615669,0,0,0,76838,23704,202000,0,8532,129,0,0,77116,196640,118600,1052800,77116,33725,77088,159871,0,0,0,14142,664,16,0,5000
1786000336.893501493,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797615586,752618770,0,0,0,76838,23704,202000,0,8532,129,0,0,77118,196772,118600,1052900,77118,33791,77088,159871,0,0,0,14142,664,16,0,5000
1786000337.924611270,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797618680,752621858,0,0,0,76838,23704,202000,0,8532,129,0,0,77120,196906,118600,1053200,77120,33858,77088,159871,0,0,0,14142,664,16,0,5000
1786000338.957283603,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797621776,752624949,0,0,0,76838,23704,202000,0,8532,129,0,0,77122,197035,118600,1053300,77122,33923,77088,159871,0,0,0,14142,664,16,0,5000
1786000339.989242976,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797624871,752628039,0,0,0,76838,23704,202000,0,8532,129,0,0,77124,197168,118600,1053300,77124,33990,77088,159871,0,0,0,14142,664,16,0,5000
1786000341.021023321,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797627966,752631007,0,0,0,76838,23704,202000,0,8532,129,0,0,77126,197305,118600,1053400,77126,34058,77088,159871,0,0,0,14142,664,16,0,5000
1786000342.054055175,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797631064,752634082,0,0,0,76838,23704,202000,0,8532,129,0,0,77128,197439,118600,1053600,77128,34126,77088,159871,0,0,0,14142,664,16,0,5000
1786000343.086645849,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797634162,752637174,0,0,0,76838,23704,202000,0,8532,129,0,0,77130,197567,118600,1053800,77130,34191,77088,159871,0,0,0,14142,664,16,0,5000
1786000344.118976628,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797637257,752640265,0,0,0,76838,23704,202000,0,8532,129,0,0,77132,197706,118600,1053900,77132,34261,77088,159871,0,0,0,14142,664,16,0,5000
1786000345.152413111,0,138620,0,0,0,0,0,76838,15041,101400,0,0,797640358,752643335,0,0,0,76838,23704,202000,0,8532,129,0,0,77134,197849,118600,1054100,77134,34332,77088,159871,0,0,0,14142,664,16,0,5000
