ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields,srvc,srva,srvp50,srvp99,quec,quea,bkc,bka,rxfer,rcrypto,rsync,wxfer,wcrypto,wsync,rp50,wp50
1785998974.742598383,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793530787,750181484,0,0,0,641848787,14606,40500,0,585,99,0,0,641861879,3679019,3276700,18446744073709551616,641861880,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998975.773385165,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793533878,750184520,0,0,0,641848787,14606,40500,0,585,99,0,0,641861881,3679019,3276700,18446744073709551616,641861882,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998976.806815004,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793536977,750187613,0,0,0,641848787,14606,40500,0,585,99,0,0,641861883,3679019,3276700,18446744073709551616,641861884,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998977.838333041,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793540073,750190700,0,0,0,641848787,14606,40500,0,585,99,0,0,641861885,3679019,3276700,18446744073709551616,641861886,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998978.871856007,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793543173,750193794,0,0,0,641848787,14606,40500,0,585,99,0,0,641861887,3679019,3276700,18446744073709551616,641861888,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998979.904647179,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793546269,750196886,0,0,0,641848787,14606,40500,0,585,99,0,0,641861889,3679019,3276700,18446744073709551616,641861890,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998980.935978286,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793549363,750199843,0,0,0,641848787,14606,40500,0,585,99,0,0,641861891,3679019,3276700,18446744073709551616,641861892,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998981.967297248,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793552457,750202912,0,0,0,641848787,14606,40500,0,585,99,0,0,641861893,3679019,3276700,18446744073709551616,641861894,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998982.998452969,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793555549,750205990,0,0,0,641848787,14606,40500,0,585,99,0,0,641861895,3679019,3276700,18446744073709551616,641861896,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
1785998984.030948072,0,641852935,0,0,0,0,0,641848787,13921,39600,0,0,793558646,750209082,0,0,0,641848787,14606,40500,0,585,99,0,0,641861897,3679019,3276700,18446744073709551616,641861898,717164,641859136,2960815,0,0,0,8697,821,3896,0,12300
