ts,cmd_get,cmd_set,get_hits,get_misses,rcount,ravg,rp99,wcount,wavg,wp99,badcrc,err5,cpu_total,cpu_idle,re2ec,re2ea,re2ep99,we2ec,we2ea,we2ep99,radmit,wadmit,wret,waitenq,yields,srvc,srva,srvp50,srvp99,quec,quea,bkc,bka,rxfer,rcrypto,rsync,wxfer,wcrypto,wsync,rp50,wp50
1786087044.959386221,252711007,0,252711007,0,252701115,18834,52400,0,0,0,0,0,1057235268,895315871,252717344,24745,100200,0,0,0,5911,0,0,0,0,252729956,590855,571400,1080500,252739662,61996,252746749,528183,15770,592,31,0,0,0,16000,0
1786087045.990718123,264763889,0,264763889,0,264753862,18825,52300,0,0,0,0,0,1057238363,895315872,264770366,24734,100100,0,0,0,5909,0,0,0,0,264782984,590551,571300,1078500,264791549,61978,264799890,527897,15762,591,31,0,0,0,16000,0
1786087047.034250997,11874295,0,11874294,0,11862075,18547,50400,0,0,0,0,0,1057241491,895315876,11877079,24375,95000,0,0,0,5843,0,0,0,0,11893966,584239,569800,1030400,11901097,61149,11909268,522455,15582,589,31,0,0,0,15900,0
1786087048.065402539,23918775,0,23918774,0,23905839,18576,50800,0,0,0,0,0,1057244581,895315877,23920146,24409,96300,0,0,0,5839,0,0,0,0,23935282,583270,568500,1029700,23942989,61344,23949507,521276,15567,589,31,0,0,0,15900,0
1786087049.100061197,35788727,0,35788726,0,35776407,18675,51200,0,0,0,0,0,1057247688,895315889,35794081,24555,98500,0,0,0,5886,0,0,0,0,35812640,586758,570100,1044800,35822158,61699,35832057,524385,15648,591,31,0,0,0,16000,0
1786087050.136067946,47466874,0,47466873,0,47454585,18786,51900,0,0,0,0,0,1057250785,895315898,47471482,24713,101500,0,0,0,5932,0,0,0,0,47489537,591111,571900,1064300,47500157,62107,47510271,528346,15743,592,32,0,0,0,16000,0
1786087051.168096042,58963407,0,58963406,0,58950991,18876,52600,0,0,0,0,0,1057253886,895315910,58966543,24847,103400,0,0,0,5974,0,0,0,0,58983102,596755,575500,1086100,58992802,62399,59000670,533687,15814,594,31,0,0,0,16000,0
1786087052.203963795,70985156,0,70985155,0,70972648,18828,52900,0,0,0,0,0,1057256992,895315910,70987451,24799,102900,0,0,0,5973,0,0,0,0,71004918,595805,575900,1077300,71012647,62247,71021495,532889,15767,593,31,0,0,0,16000,0
1786087053.238065237,82869419,0,82869418,0,82857045,18825,53200,0,0,0,0,0,1057260088,895315930,82874173,24801,103600,0,0,0,5979,0,0,0,0,82891622,595350,575300,1076500,82900192,62259,82909219,532418,15764,593,32,0,0,0,16000,0
1786087054.275771822,95085403,0,95085402,0,95073878,18785,53200,0,0,0,0,0,1057263207,895315948,95093808,24744,103000,0,0,0,5961,0,0,0,0,95113010,593249,573400,1071900,95124561,62115,95135742,530463,15731,592,31,0,0,0,16000,0
1786087055.313322674,107249324,0,107249323,0,107237120,18761,53500,0,0,0,0,0,1057266318,895315949,107256953,24722,103700,0,0,0,5963,0,0,0,0,107275662,591935,572700,1067600,107284289,62055,107295729,529212,15708,591,31,0,0,0,16000,0
1786087056.351195221,118928826,0,118928825,0,118917255,18802,53800,0,0,0,0,0,1057269434,895315955,118938392,24788,105700,0,0,0,5989,0,0,0,0,118989241,593216,572900,1075100,118997618,62207,119005504,530334,15748,593,31,0,0,0,16000,0
1786087057.387406717,130783109,0,130783109,0,130771123,18807,53900,0,0,0,0,0,1057272541,895315962,130787818,24796,106000,0,0,0,5990,0,0,0,0,130805328,593571,573100,1077100,130813788,62228,130822805,530671,15748,592,31,0,0,0,16000,0
1786087058.427208223,143002315,0,143002314,0,142990144,18777,53900,0,0,0,0,0,1057275651,895315963,143008186,24758,105900,0,0,0,5982,0,0,0,0,143025687,592010,572100,1071700,143036214,62134,143045454,529202,15723,591,31,0,0,0,16000,0
1786087059.461683326,155173783,0,155173782,0,155161580,18761,53900,0,0,0,0,0,1057278762,895315963,155178499,24733,105500,0,0,0,5972,0,0,0,0,155195132,591054,571600,1068000,155204320,62081,155214069,528307,15709,591,31,0,0,0,16000,0
1786087060.499391651,167380842,0,167380841,0,167367987,18740,53800,0,0,0,0,0,1057281876,895315963,167384987,24698,104700,0,0,0,5958,0,0,0,0,167403471,590095,571000,1065000,167412333,62007,167420305,527416,15689,590,31,0,0,0,15900,0
1786087061.532190211,179553152,0,179553151,0,179540993,18725,53800,0,0,0,0,0,1057284973,895315964,179557681,24670,104100,0,0,0,5946,0,0,0,0,179576766,589150,570400,1061900,179585889,61949,179594688,526530,15676,590,31,0,0,0,15900,0
1786087067.690837451,2885097,0,0,2885097,0,0,0,0,0,0,0,2885097,1057303408,895330814,0,0,0,0,0,0,0,0,0,0,0,2993888,110212,90300,318000,3012119,39711,0,0,0,0,0,0,0,0,0,0
1786087069.199540684,27846073,0,0,27846073,0,0,0,0,0,0,0,27846073,1057307773,895332657,0,0,0,0,0,0,0,0,0,0,0,23309773,75366,69100,161900,23322628,28103,0,0,0,0,0,0,0,0,0,0
1786087070.224880036,47116155,0,0,47116155,0,0,0,0,0,0,0,47116155,1057310722,895334035,0,0,0,0,0,0,0,0,0,0,0,42581632,74054,68400,151900,42594630,27644,0,0,0,0,0,0,0,0,0,0
1786087071.250360621,66312094,0,0,66312094,0,0,0,0,0,0,0,66312094,1057313654,895335434,0,0,0,0,0,0,0,0,0,0,0,61775241,73519,68100,148500,61788576,27438,0,0,0,0,0,0,0,0,0,0
1786087072.284065549,83169292,169742,282847,82886445,283939,63987,462600,170646,41846,678600,0,82886445,1057316642,895336520,287533,113477,875300,171629,55254,849200,50403,13501,242,0,0,78784680,93848,69200,572800,78790560,28770,464876,576334,61794,751,46,28982,5209,24,46800,5200
1786087073.314155041,92257030,789689,4503487,87753543,4507096,30793,150700,790437,24864,520000,0,87753543,1057319657,895336957,4515706,51962,434900,791407,37742,791900,21228,12685,222,0,0,88472233,163497,72200,1492500,88476249,32535,5318228,686425,27496,642,42,21054,1836,20,22200,5200
1786087074.350002938,101908610,1000064,13820436,88088174,13827153,23896,91700,1000064,23360,465900,0,88088174,1057322752,895337085,13846350,36266,291400,1000064,35638,774700,12395,12059,217,0,0,98350810,220341,75900,1673700,98360830,36182,14880335,665634,20727,620,37,20052,1635,20,17900,5100
1786087075.394497111,113964436,1000064,25876262,88088174,25883173,21449,70900,1000064,23360,465900,0,88088174,1057325874,895337089,25901221,30840,234500,1000064,35638,774700,9402,12059,217,0,0,110404307,260332,80900,1628600,110414562,39003,26932235,602184,18330,605,34,20052,1635,20,16700,5100
1786087076.438095027,126310662,1000064,38222488,88088174,38230442,20481,63600,1000064,23360,465900,0,88088174,1057329015,895337091,38248438,28738,211800,1000064,35638,774700,8264,12059,217,0,0,122751116,292376,87400,1564700,122760191,41227,39278712,575467,17393,598,33,20052,1635,20,16400,5100
1786087077.477372546,138479173,1000064,50390999,88088174,50398617,20021,60400,1000064,23360,465900,0,88088174,1057332134,895337094,50416941,27703,197900,1000064,35638,774700,7687,12059,217,0,0,134920154,318327,97800,1514200,134929182,43069,51447530,561788,16945,595,33,20052,1635,20,16200,5100
1786087078.511560659,150770118,1000064,62681944,88088174,62690178,19695,58400,1000064,23360,465900,0,88088174,1057335236,895337095,62708328,26997,187000,1000064,35638,774700,7306,12059,217,0,0,147211220,339344,126500,1455200,147221816,44541,63741263,551551,16632,592,32,20052,1635,20,16100,5100
1786087079.550068561,162765100,1000064,74676926,88088174,74683245,19561,57300,1000064,23360,465900,0,88088174,1057338350,895337111,74700628,26636,179300,1000064,35638,774700,7077,12059,217,0,0,159202379,357984,298200,1426100,159211647,45897,75729871,547128,16494,592,32,20052,1635,20,16100,5100
1786087080.586866190,174353455,1000064,86265281,88088174,86271927,19532,56800,1000064,23360,465900,0,88088174,1057341456,895337122,86289283,26479,174500,1000064,35638,774700,6949,12059,217,0,0,170790461,374966,352300,1424400,170800123,47145,87317152,546623,16459,594,32,20052,1635,20,16100,5100
1786087081.631480984,186800008,1000064,98711834,88088174,98719285,19391,56000,1000064,23360,465900,0,88088174,1057344593,895337122,98738422,26190,165700,1000064,35638,774700,6801,12059,217,0,0,183242739,388193,383200,1378500,183252896,48089,99772632,541784,16326,592,32,20052,1635,20,16000,5100
1786087082.669378493,199229445,1000064,111141271,88088174,111147779,19274,55500,1000064,23360,465900,0,88088174,1057347708,895337122,111165729,25947,159200,1000064,35638,774700,6674,12059,217,0,0,195667034,399365,404000,1333700,195675735,48893,112195110,537465,16215,591,32,20052,1635,20,16000,5100
1786087083.700711183,211419868,1000064,123331695,88088174,123336172,19207,55200,1000064,23360,465900,0,88088174,1057350800,895337123,123353240,25787,155000,1000064,35638,774700,6581,12059,217,0,0,207853636,409721,420000,1299500,207861790,49637,124380781,535137,16149,590,32,20052,1635,20,16000,5100
1786087084.741772530,223698957,1000064,135610783,88088174,135618673,19143,54800,1000064,23360,465900,0,88088174,1057353913,895337135,135638456,25640,150600,1000064,35638,774700,6498,12059,217,0,0,220141833,418870,432500,1266300,220151876,50276,136671249,533037,16089,589,32,20052,1635,20,15900,5100
1786087085.778926584,235970455,1000064,147882281,88088174,147889159,19100,54600,1000064,23360,465900,0,88088174,1057357031,895337137,147907397,25520,146200,1000064,35638,774700,6421,12059,217,0,0,232408123,427168,442600,1245900,232416687,50864,148935804,531480,16048,589,32,20052,1635,20,15900,5100
1786087086.813526511,247623421,1000064,159535248,88088174,159540823,19100,54500,1000064,23360,465900,0,88088174,1057360128,895337141,159560387,25491,144600,1000064,35638,774700,6391,12059,217,0,0,244062800,435507,451800,1245700,244072851,51461,160592275,531925,16046,589,32,20052,1635,20,15900,5100
1786087087.849215652,259999671,1000064,171911497,88088174,171918859,19046,54200,1000064,23360,465900,0,88088174,1057363244,895337141,171937654,25390,142200,1000064,35638,774700,6345,12059,217,0,0,256441009,441843,459200,1219600,256451473,51913,172968152,530020,15996,589,31,20052,1635,20,15900,5100
1786087088.885840423,272440959,1000064,184352785,88088174,184358293,18992,54000,1000064,23360,465900,0,88088174,1057366350,895337141,184378923,25289,139600,1000064,35638,774700,6298,12059,217,0,0,268883320,447485,465300,1196500,268892960,52305,185411753,528185,15947,588,31,20052,1635,20,15900,5100
