cell	ops_M	avg_ms	p50_ms	p99_ms	p999_ms
KD-U-GET-r1	13.798				
KD-Z-GET-r1	12.684				
KD-U-MIX-r1	11.342				
KD-Z-MIX-r1	7.432				
KD-U-GET-r2	13.782				
KD-Z-GET-r2	12.645				
KD-U-MIX-r2	11.433				
KD-Z-MIX-r2	7.551				
KD-Z-MIX-r3	7.503				
KD-T-MIX-050-r1	11.393				
KD-T-MIX-075-r1	11.224				
KD-T-MIX-090-r1	9.591				
KD-T-MIX-090-r2	9.280				
BD-PROF-ON-GET-r1	13.245	2.27156	2.20700	4.19100	7.19900
BD-PROF-ON-MIX-r1	10.926	2.77160	2.71900	4.86300	8.09500
BD-PROF-OFF-GET-r1	13.840	2.17062	2.12700	3.79100	7.03900
BD-PROF-OFF-MIX-r1	11.393	2.65615	2.63900	4.51100	7.48700
BD-PIPE-1-r1	0.574	0.20720	0.18300	0.55900	0.91100
BD-PIPE-8-r1	3.421	0.27072	0.21500	1.03100	1.71900
BD-PIPE-32-r1	7.663	0.47439	0.39100	1.67900	2.87900
BD-PIPE-128-r1	12.668	1.17818	1.12700	2.39900	5.56700
BD-PIPE-256-r1	13.242	2.27758	2.22300	3.95100	7.13500
C1-64-GET-r1	10.027	0.72385	0.67100	2.35100	4.60700
C1-64-MIX-r1	8.541	0.85821	0.79900	2.76700	4.89500
C1-64-SET-r1	5.603	1.35124	1.32700	2.28700	5.27900
C1-384-GET-r1	13.022	3.49193	3.23100	6.30300	10.75100
C1-384-MIX-r1	10.115	4.51104	4.25500	9.79100	13.63100
C1-384-SET-r1	5.754	7.94641	7.80700	12.28700	16.76700
A16-1-GET-r1	12.737	2.36555	2.30300	4.15900	7.48700
A16-1-MIX-r1	10.670	2.83906	2.76700	4.95900	8.44700
A16-1-SET-r1	5.791	5.24528	4.35100	9.21500	13.82300
A16-2-GET-r1	12.895	2.33416	2.25500	4.35100	7.51900
A16-2-MIX-r1	10.741	2.81961	2.73500	4.79900	7.93500
A16-2-SET-r1	5.743	5.29021	4.41500	9.27900	13.88700
A16-3-GET-r1	12.671	2.37806	2.33500	4.15900	7.29500
A16-3-MIX-r1	10.627	2.85106	2.83100	4.79900	7.99900
A16-3-SET-r1	5.755	5.27929	4.70300	9.15100	13.63100
A16-4-GET-r1	11.937	2.52741	2.46300	4.60700	7.77500
A16-4-MIX-r1	10.056	3.01493	2.94300	5.21500	8.83100
A16-4-SET-r1	5.659	5.36905	4.35100	9.40700	14.27100
E0-DEM0-P1	0.562	0.21147	0.19100	0.57500	0.99900
E0-DEM0-P32	7.913	0.45648	0.38300	1.61500	2.78300
E0-DEM4-P1	0.572	0.20786	0.18300	0.56700	0.96700
E0-DEM4-P32	7.271	0.50018	0.43900	1.45500	2.25500
E0-DEM16-P1	0.573	0.20721	0.19100	0.52700	0.80700
E0-DEM16-P32	7.466	0.48657	0.43100	1.38300	2.00700
E0-DEM64-P1	0.578	0.20558	0.18300	0.53500	0.83100
E0-DEM64-P32	7.548	0.47954	0.41500	1.46300	2.35100
E0-DEM0-P32-r2	7.870	0.46109	0.39100	1.50300	2.44700
GATE-GET	13.309	2.27451	2.19100	4.06300	7.23100
GATE-MIX	10.877	2.78460	2.70300	4.89500	8.12700
GATE-SET	5.751	5.28256	4.51100	9.91900	13.95100
GATE-SET-ramp	5.741	5.29152	4.35100	9.21500	13.82300
E4-C1R8-GET	11.343	2.66398	2.44700	5.02300	8.70300
E4-C1R8-MIX	9.688	3.13077	2.95900	5.69500	9.27900
E4-C1R8-SET	5.734	5.29885	4.35100	9.15100	13.69500
E4-C2R8-GET	12.113	2.49093	2.38300	4.60700	8.15900
E4-C2R8-MIX	10.173	2.97952	2.87900	5.37500	9.02300
