label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-C1	1	177.8	10.868	10867949	0	29.9	13.89	0.0	46.6	0.12	13.77	10.83	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	696.45	665.2	1333.0	142.14	553.70	0	0	100.00
SF3-C1	2	177.8	9.321	8389216	932135	29.9	12.01	0.0	40.5	0.18	11.83	9.18	0.67	0.02	9.96	0.0	38.3	0.50	8.59	0.87	7.20	0.86	787.02	739.7	1633.8	177.94	608.34	0	15	100.00
SF3-C1	3	176.9	5.629	0	5628989	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.6	0.66	7.33	0.13	5.66	1.01	2313.45	2134.0	18446744073709552.0	434.82	1877.46	0	0	0.00
SF3-C5	1	177.9	12.444	12444323	0	29.9	20.27	0.0	74.0	2.27	18.00	14.75	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	550.74	528.8	1038.4	116.86	433.27	0	0	100.00
SF3-C5	2	176.7	10.351	9316168	1035130	29.9	16.34	0.0	76.2	4.31	12.03	9.38	0.64	0.03	8.37	0.0	31.1	0.51	7.30	0.57	5.85	0.89	669.37	632.8	1304.2	153.86	514.77	0	8	100.00
SF3-C5	3	177.0	5.631	0	5630526	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	33.3	0.66	7.32	0.13	5.65	1.01	2315.11	2131.4	18446744073709552.0	434.58	1879.36	0	0	0.00
SF3-C6	1	177.8	12.462	12462162	0	29.9	22.31	0.0	77.3	2.75	19.56	16.36	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	549.52	526.9	1051.9	116.47	432.43	0	0	100.00
SF3-C6	2	177.6	10.382	9344073	1038230	29.9	18.90	0.0	93.2	5.52	13.38	10.25	0.62	0.03	9.48	0.0	32.5	0.51	8.39	0.58	6.93	0.90	667.16	630.5	1303.4	152.72	513.70	0	11	100.00
SF3-C6	3	177.0	5.599	0	5598961	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.14	0.0	32.7	0.67	7.35	0.13	5.68	1.00	2332.36	2145.6	18446744073709552.0	436.50	1894.67	0	0	0.00
SF3-C7	1	177.8	12.353	12352924	0	29.9	23.16	0.0	80.0	3.56	19.60	16.29	0.64	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	555.32	530.5	1057.7	118.15	436.56	0	0	100.00
SF3-C7	2	176.6	10.286	9257327	1028592	29.9	21.54	0.0	108.9	7.36	14.18	10.61	0.67	0.03	10.18	0.0	33.8	0.51	9.05	0.62	7.59	0.91	672.27	635.1	1317.4	154.52	517.01	0	11	100.00
SF3-C7	3	177.9	5.607	0	5607198	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.14	0.0	32.9	0.66	7.35	0.13	5.67	1.01	2323.82	2137.9	18446744073709552.0	436.37	1886.26	0	0	0.00
SF3-C8	1	177.9	12.784	12783657	0	29.9	22.31	0.0	82.3	4.68	17.63	14.63	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	523.76	502.5	979.1	111.91	411.24	0	0	100.00
SF3-C8	2	176.6	10.609	9548294	1060922	29.9	23.21	0.0	133.9	9.57	13.64	10.56	0.61	0.03	9.10	0.0	31.2	0.51	7.98	0.60	6.51	0.92	647.63	613.3	1239.6	147.64	499.26	0	14	100.00
SF3-C8	3	178.0	5.640	0	5639576	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.10	0.0	32.7	0.66	7.31	0.13	5.64	1.01	2304.01	2118.7	18446744073709552.0	433.29	1869.56	0	0	0.00
SF3-C9	1	176.8	12.734	12733512	0	29.9	22.39	0.0	82.7	4.74	17.65	14.67	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	528.45	509.4	979.3	112.07	415.76	0	0	100.00
SF3-C9	2	176.6	10.605	9544416	1060491	29.9	23.19	0.0	136.0	9.58	13.61	10.56	0.61	0.03	9.04	0.0	31.4	0.51	7.93	0.60	6.46	0.91	649.52	615.3	1235.7	147.49	501.29	0	7	100.00
SF3-C9	3	176.9	5.613	0	5613494	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.9	0.66	7.34	0.13	5.67	1.01	2325.26	2147.0	18446744073709552.0	436.00	1888.07	0	0	0.00
SF3-C10	1	177.8	12.924	12923853	0	29.9	22.15	0.0	80.2	4.60	17.55	14.56	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	513.38	490.8	973.0	111.25	401.51	0	0	100.00
SF3-C10	2	177.6	10.656	9590773	1065641	29.9	23.11	0.0	128.5	9.52	13.58	10.53	0.61	0.03	9.08	0.0	31.6	0.51	7.95	0.61	6.48	0.92	642.07	608.5	1225.4	147.62	493.72	0	13	100.00
SF3-C10	3	176.9	5.641	0	5640511	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.12	0.0	33.0	0.66	7.33	0.13	5.65	1.01	2307.11	2133.4	18446744073709552.0	435.14	1870.80	0	0	0.00
SF3-C11	1	176.9	12.679	12678706	0	29.9	22.47	0.0	83.8	4.76	17.70	14.73	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	532.37	511.3	995.7	112.84	418.90	0	0	100.00
SF3-C11	2	177.7	10.527	9474585	1052732	29.9	23.30	0.0	137.9	9.63	13.67	10.62	0.61	0.03	9.05	0.0	31.3	0.52	7.94	0.59	6.47	0.91	653.67	619.6	1239.2	148.15	504.77	0	9	100.00
SF3-C11	3	177.0	5.604	0	5603843	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.14	0.0	33.1	0.66	7.35	0.13	5.68	1.01	2330.35	2148.7	18446744073709552.0	436.46	1892.71	0	0	0.00
SF3-C12	1	176.8	12.821	12821397	0	29.9	22.27	0.0	82.2	4.66	17.60	14.61	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	522.55	501.5	974.7	111.81	410.12	0	0	100.00
SF3-C12	2	177.6	10.616	9554099	1061567	29.9	23.18	0.0	134.5	9.56	13.62	10.55	0.62	0.03	9.10	0.0	31.5	0.51	7.97	0.62	6.51	0.91	647.65	614.1	1223.9	147.50	499.41	0	17	100.00
SF3-C12	3	176.9	5.654	0	5654406	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.09	0.0	32.8	0.66	7.31	0.13	5.63	1.01	2302.47	2119.3	18446744073709552.0	433.68	1867.63	0	0	0.00
SF3-C13	1	176.9	12.812	12812215	0	29.9	22.31	0.0	81.2	4.67	17.63	14.65	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	522.82	499.3	1019.4	111.85	410.35	0	0	100.00
SF3-C13	2	177.7	10.608	9547159	1060795	29.9	23.18	0.0	134.5	9.57	13.60	10.56	0.61	0.03	9.06	0.0	31.4	0.51	7.94	0.60	6.47	0.91	648.24	614.5	1229.3	147.68	499.82	0	10	100.00
SF3-C13	3	176.9	5.626	0	5625523	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	33.0	0.66	7.33	0.13	5.66	1.00	2316.59	2131.2	18446744073709552.0	434.75	1880.66	0	0	0.00
SF3-C14	1	176.8	12.809	12808646	0	29.9	22.29	0.0	81.2	4.67	17.63	14.64	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	520.75	499.4	981.9	111.76	408.37	0	0	100.00
SF3-C14	2	176.6	10.690	9620707	1068967	29.9	23.07	0.0	129.4	9.50	13.56	10.52	0.61	0.03	9.06	0.0	31.4	0.51	7.94	0.61	6.46	0.92	641.65	607.7	1222.0	147.29	493.62	0	4	100.00
SF3-C14	3	177.9	5.664	0	5664202	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.08	0.0	32.4	0.66	7.29	0.13	5.62	1.01	2297.05	2118.1	18446744073709552.0	432.50	1863.40	0	0	0.00
SF3-C15	1	176.9	12.723	12723317	0	29.9	22.44	0.0	82.3	4.74	17.70	14.72	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	529.06	508.1	984.6	112.84	415.59	0	0	100.00
SF3-C15	2	177.6	10.587	9527931	1058659	29.9	23.24	0.0	132.9	9.60	13.64	10.58	0.61	0.03	9.06	0.0	31.3	0.52	7.95	0.60	6.48	0.91	648.73	614.6	1232.2	148.19	499.79	0	12	100.00
SF3-C15	3	176.9	5.603	0	5603112	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.14	0.0	33.3	0.67	7.34	0.13	5.68	1.00	2330.12	2137.0	18446744073709552.0	436.33	1892.60	0	0	0.00
SF3-C16	1	177.8	12.822	12822406	0	29.9	22.30	0.0	81.3	4.66	17.64	14.64	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	522.28	501.2	967.7	112.02	409.64	0	0	100.00
SF3-C16	2	177.6	10.650	9584976	1064997	29.9	23.12	0.0	127.7	9.52	13.60	10.52	0.61	0.03	9.10	0.0	31.3	0.51	7.97	0.61	6.50	0.91	641.14	606.7	1225.1	147.72	492.68	0	11	100.00
SF3-C16	3	176.9	5.648	0	5648017	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.5	0.66	7.32	0.13	5.65	1.01	2303.63	2121.2	18446744073709552.0	434.71	1867.75	0	0	0.00
SF3-C2	1	177.8	11.710	11710113	0	29.9	16.67	0.0	58.0	0.79	15.88	12.79	0.62	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	597.34	568.8	1162.6	128.44	468.28	0	0	100.00
SF3-C2	2	176.6	9.952	8956917	995213	29.9	13.68	0.0	50.8	1.49	12.19	9.47	0.66	0.02	9.03	0.0	33.0	0.50	7.93	0.59	6.51	0.88	705.30	664.2	1421.1	163.46	541.10	0	9	100.00
SF3-C2	3	177.9	5.656	0	5656481	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.08	0.0	32.6	0.66	7.30	0.13	5.63	1.01	2302.43	2113.4	18446744073709552.0	433.09	1868.17	0	0	0.00
SF3-C3	1	176.9	11.982	11981897	0	29.9	17.95	0.0	62.3	1.30	16.65	13.56	0.62	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	582.87	558.7	1103.9	124.07	458.17	0	0	100.00
SF3-C3	2	177.7	10.052	9046843	1005205	29.9	14.88	0.0	58.4	2.47	12.41	9.64	0.64	0.03	9.24	0.0	33.4	0.51	8.11	0.62	6.68	0.89	695.41	655.9	1383.8	159.33	535.33	0	17	100.00
SF3-C3	3	176.9	5.587	0	5587121	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.16	0.0	32.9	0.67	7.36	0.13	5.69	1.00	2338.24	2151.2	18446744073709552.0	437.51	1899.54	0	0	0.00
SF3-C4	1	177.8	12.329	12329342	0	29.9	18.06	0.0	68.0	2.11	15.95	12.76	0.61	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	553.99	529.9	1044.8	119.03	434.33	0	0	100.00
SF3-C4	2	177.6	10.332	9299036	1033226	29.9	15.93	0.0	71.6	4.04	11.89	9.26	0.64	0.03	7.81	0.0	30.1	0.51	6.92	0.38	5.47	0.89	667.34	629.9	1316.0	154.55	512.05	0	14	100.00
SF3-C4	3	177.0	5.621	0	5621390	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.8	0.66	7.33	0.13	5.66	1.01	2321.56	2136.6	18446744073709552.0	435.34	1885.04	0	0	0.00
