label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-D8	1	177.6	13.591	13591327	0	29.9	20.82	0.0	77.0	4.61	16.20	13.59	0.50	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	507.32	487.2	900.7	99.76	406.98	0	0	100.00
SF3-D8	2	177.4	11.187	10068490	1118721	29.9	21.93	0.0	141.7	9.14	12.79	9.96	0.55	0.03	8.38	0.0	29.8	0.51	7.49	0.38	6.06	0.88	609.80	588.5	1106.9	131.53	477.57	0	13	100.00
SF3-D8	3	176.7	6.030	0	6029572	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.61	0.0	28.9	0.62	6.86	0.12	5.22	0.98	1900.73	1981.4	18446744073709552.0	579.22	1320.44	0	0	0.00
SF3-D16	1	177.6	13.516	13515672	0	29.9	20.88	0.0	74.7	4.61	16.27	13.65	0.51	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	516.74	498.2	960.0	105.80	410.36	0	0	100.00
SF3-D16	2	176.4	11.056	9950032	1105559	29.9	22.12	0.0	130.4	9.21	12.91	10.06	0.55	0.03	8.42	0.0	30.1	0.51	7.51	0.40	6.08	0.88	628.16	594.5	1197.8	138.22	489.23	0	16	100.00
SF3-D16	3	176.7	5.990	0	5989596	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.65	0.0	29.5	0.63	6.90	0.12	5.25	0.98	1913.82	1996.0	18446744073709552.0	582.02	1330.74	0	0	0.00
SF3-D24	1	177.7	13.205	13205338	0	29.9	21.29	0.0	76.7	4.71	16.58	13.90	0.52	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	521.83	503.4	981.2	109.70	411.53	0	0	100.00
SF3-D24	2	176.5	10.915	9823281	1091476	29.9	22.40	0.0	128.9	9.33	13.07	10.19	0.56	0.03	8.53	0.0	30.3	0.52	7.59	0.42	6.15	0.89	653.54	620.8	1253.6	148.45	504.38	0	7	100.00
SF3-D24	3	176.7	5.974	0	5974144	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.67	0.0	29.3	0.63	6.91	0.12	5.26	0.99	1917.56	2015.9	18446744073709552.0	582.79	1333.70	0	0	0.00
SF3-D32	1	176.6	13.352	13351827	0	29.9	21.04	0.0	79.0	4.67	16.37	13.78	0.50	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	512.23	492.2	958.7	106.57	405.06	0	0	100.00
SF3-D32	2	177.6	10.932	9838443	1093160	29.9	22.27	0.0	134.0	9.30	12.97	10.18	0.54	0.03	8.39	0.0	30.1	0.52	7.45	0.42	6.01	0.89	640.98	611.0	1218.8	143.76	496.50	0	8	100.00
SF3-D32	3	177.8	5.959	0	5958996	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.66	0.0	30.0	0.63	6.91	0.12	5.26	0.99	1917.89	1961.6	18446744073709552.0	582.08	1334.74	0	0	0.00
SF3-D48	1	177.8	12.781	12780513	0	29.9	22.11	0.0	80.8	4.78	17.32	14.42	0.56	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	535.16	515.9	1001.8	111.20	423.35	0	0	100.00
SF3-D48	2	177.5	10.667	9600373	1066708	29.9	22.90	0.0	138.4	9.50	13.40	10.43	0.58	0.03	8.76	0.0	31.5	0.52	7.73	0.50	6.28	0.90	644.45	613.6	1229.9	144.67	499.05	0	11	100.00
