label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-E	1	177.2	12.216	12215782	0	28.8	22.00	0.0	57.7	3.67	18.32	15.29	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1107.37	1060.2	18446744073709552.0	446.11	660.60	0	0	100.00
SF3-E	2	176.5	10.533	9479687	1053299	29.9	21.11	0.0	60.1	8.34	12.77	9.76	0.61	0.03	9.19	0.0	33.1	0.54	7.96	0.69	6.50	0.91	1354.72	1325.1	2241.9	578.50	775.47	0	17	100.00
SF3-E	3	176.8	5.359	0	5358731	26.0	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.91	0.0	27.6	0.56	6.47	0.88	4.86	0.98	1024.55	884.6	1077.1	411.28	612.20	0	0	0.00
SF3-E	4	177.3	13.447	13446646	0	29.2	20.79	0.0	51.3	3.56	17.23	14.32	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	574.14	522.4	1443.8	219.29	354.23	0	0	100.00
SF3-E	5	176.8	10.454	9408434	1045382	29.8	21.68	0.0	59.1	8.64	13.04	10.02	0.61	0.03	9.28	0.0	31.7	0.55	8.04	0.70	6.55	0.93	1097.06	1053.1	2413.5	435.88	660.41	0	15	100.00
SF3-E	6	177.9	5.757	0	5756708	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.90	0.0	34.6	0.63	7.14	0.13	5.45	1.02	1443.88	1494.7	2159.9	443.26	999.48	0	0	0.00
SF3-E	7	176.9	12.512	12511977	0	29.9	22.67	0.0	83.1	4.87	17.80	14.83	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	541.62	520.4	1013.3	113.42	427.57	0	0	100.00
SF3-E	8	177.6	10.493	9444111	1049346	29.9	23.34	0.0	135.7	9.67	13.68	10.62	0.61	0.03	9.04	0.0	31.4	0.53	7.93	0.58	6.46	0.91	656.54	623.0	1255.2	148.05	507.74	0	13	100.00
SF3-E	9	177.0	5.597	0	5596621	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.7	0.68	7.33	0.13	5.67	1.00	2338.28	2152.6	18446744073709552.0	435.61	1901.49	0	0	0.00
SF3-E	10	177.0	11.590	11590485	0	30.0	24.66	0.0	107.3	5.85	18.82	15.72	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	579.27	560.9	1056.7	61.50	517.11	0	0	100.00
SF3-E	11	177.9	9.812	8831182	981242	29.9	25.63	0.0	214.3	10.73	14.90	11.75	0.62	0.03	9.25	0.0	32.3	0.54	8.10	0.62	6.61	0.93	660.53	636.1	1237.7	75.90	583.87	0	11	100.00
SF3-E	12	177.5	5.634	0	5633542	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.12	0.0	36.9	0.67	7.33	0.13	5.66	1.00	1994.97	1967.9	18446744073709552.0	299.70	1694.13	0	0	0.00
SF3-E	13	177.7	9.409	9408899	0	29.9	29.63	0.0	131.9	8.12	21.51	18.09	0.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	742.54	724.0	1278.3	35.98	705.81	0	0	100.00
SF3-E	14	177.6	8.295	7465445	829494	30.0	30.27	0.0	355.3	12.85	17.42	13.96	0.68	0.03	9.95	0.0	37.2	0.57	8.70	0.68	7.17	0.97	833.84	811.3	1542.6	49.28	783.70	0	7	100.00
SF3-E	15	177.5	5.237	0	5236784	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.65	0.0	39.0	0.70	7.81	0.13	6.12	1.02	2465.55	2402.7	18446744073709552.0	154.86	2309.47	0	0	0.00
SF3-E	16	177.6	8.528	8528021	0	29.9	32.25	0.0	82.6	9.58	22.66	19.20	0.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1481.97	1479.9	2424.0	33.52	1447.67	0	0	100.00
SF3-E	17	177.4	7.570	6812824	756980	30.0	33.36	0.0	105.5	14.39	18.98	15.44	0.69	0.04	10.09	0.0	38.4	0.60	8.82	0.66	7.34	0.94	1666.77	1649.4	2810.4	40.51	1625.36	0	4	100.00
SF3-E	18	177.4	5.053	0	5052671	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.84	0.0	31.4	0.70	8.01	0.13	6.34	1.01	2292.86	2226.8	18446744073709552.0	76.01	2215.60	0	0	0.00
SF3-E	19	176.9	6.183	6182835	0	29.8	39.97	0.0	98.7	12.58	27.39	23.44	0.75	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	2252.72	2286.1	18446744073709552.0	18.58	2233.22	0	0	100.00
SF3-E	20	176.8	5.759	5182797	575866	29.8	43.37	0.0	117.8	18.77	24.60	20.59	0.77	0.04	11.36	0.0	47.7	0.66	9.74	0.96	8.19	1.01	2365.69	2385.1	18446744073709552.0	22.55	2342.11	0	4	100.00
SF3-E	21	176.6	4.350	0	4350186	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	9.85	0.0	35.3	0.75	8.96	0.14	7.28	1.03	3096.97	3053.1	18446744073709552.0	38.80	3056.77	0	0	0.00
SF3-E	22	177.4	4.495	4495431	0	29.5	52.23	0.0	145.8	18.08	34.14	29.65	0.85	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	2592.36	2558.5	18446744073709552.0	10.39	2580.88	0	0	100.00
SF3-E	23	176.7	4.204	3783980	420442	29.7	56.21	0.0	164.2	25.01	31.19	26.65	0.86	0.05	12.99	0.0	62.7	0.73	10.77	1.49	9.15	1.08	2943.09	2929.8	18446744073709552.0	12.32	2929.57	0	3	100.00
SF3-E	24	177.3	3.441	0	3441299	29.6	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	11.57	0.0	44.4	0.83	10.60	0.14	8.91	1.06	4035.87	3276.7	18446744073709552.0	19.50	4014.76	0	0	0.00
