label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-S16x16	1	176.8	12.537	12537164	0	29.9	23.28	0.0	78.1	4.77	18.51	15.51	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	523.01	497.4	996.2	118.25	404.10	0	0	100.00
SF3-S16x16	2	176.5	10.675	9607068	1067452	29.9	23.22	0.0	102.2	9.48	13.74	10.73	0.61	0.03	9.20	0.0	31.6	0.52	7.96	0.72	6.48	0.91	620.56	584.0	1248.0	152.67	467.10	0	6	100.00
SF3-S16x16	3	176.8	5.628	0	5628334	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.16	0.0	33.0	0.68	7.38	0.10	5.71	0.99	2316.03	2129.8	18446744073709552.0	438.58	1876.23	0	0	0.00
SF3-S32x8	1	176.9	12.287	12286922	0	29.9	23.46	0.0	87.2	4.80	18.66	15.67	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	553.39	530.9	1026.8	116.90	435.85	0	0	100.00
SF3-S32x8	2	177.7	10.338	9304038	1033782	29.9	23.82	0.0	143.2	9.65	14.17	11.19	0.61	0.03	9.17	0.0	31.6	0.51	7.94	0.72	6.50	0.89	666.87	631.4	1263.0	150.61	515.51	0	7	100.00
SF3-S32x8	3	177.0	5.566	0	5566124	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.18	0.0	33.4	0.67	7.40	0.10	5.76	0.98	2351.91	2149.3	18446744073709552.0	438.77	1911.94	0	0	0.00
SF3-S16x16-r2	1	176.9	12.521	12520502	0	29.9	22.97	0.0	85.7	4.71	18.25	15.26	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	539.64	517.3	1011.4	114.58	424.44	0	0	100.00
SF3-S16x16-r2	2	177.7	10.475	9427733	1047526	29.9	23.52	0.0	142.7	9.59	13.93	10.94	0.61	0.03	9.12	0.0	31.6	0.51	7.86	0.75	6.41	0.90	661.08	627.1	1249.8	148.81	511.53	0	12	100.00
SF3-S16x16-r2	3	177.0	5.612	0	5611799	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	33.2	0.66	7.35	0.10	5.70	0.99	2331.19	2130.3	18446744073709552.0	435.53	1894.47	0	0	0.00
SF3-S16x16-r2	4	177.8	12.863	12863136	0	29.9	22.50	0.0	78.3	4.65	17.85	14.74	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	512.92	489.9	975.0	113.75	398.54	0	0	100.00
SF3-S16x16-r2	5	176.7	10.955	9859588	1095510	29.9	22.65	0.0	134.7	9.24	13.42	10.30	0.63	0.03	9.14	0.0	31.7	0.50	7.81	0.84	6.53	0.86	629.14	596.1	1205.5	142.15	486.25	0	10	100.00
SF3-S16x16-r2	6	176.8	6.329	0	6329003	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.23	0.0	31.7	0.58	6.55	0.10	5.06	0.92	2059.70	1904.7	18446744073709552.0	381.91	1676.61	0	0	0.00
