label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF3-T1	1	177.6	0.751	751077	0	1.4	12.60	0.0	34.5	2.54	10.06	8.47	0.31	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	221.61	222.1	414.5	60.62	160.54	0	0	100.00
SF3-T1	2	177.6	0.705	634841	70538	1.4	12.25	0.0	37.9	4.31	7.94	6.45	0.31	0.02	5.36	0.0	15.9	0.30	4.22	0.85	3.78	0.34	244.72	235.5	496.6	67.12	177.14	0	0	100.00
SF3-T1	3	177.9	0.539	0	539449	1.4	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	3.85	0.0	14.2	0.28	3.51	0.06	3.11	0.32	623.94	624.8	1428.6	130.25	493.06	0	0	0.00
SF3-T2	1	177.7	1.537	1537287	0	2.5	12.56	0.0	34.9	2.44	10.12	8.40	0.33	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	210.13	203.6	399.0	57.41	152.29	0	0	100.00
SF3-T2	2	176.6	1.385	1246568	138508	2.5	12.38	0.0	38.3	4.32	8.06	6.50	0.33	0.02	5.47	0.0	16.2	0.23	4.32	0.92	3.85	0.37	230.04	226.2	495.5	63.26	166.33	0	0	100.00
SF3-T2	3	176.9	1.071	0	1071249	2.5	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	3.84	0.0	13.9	0.16	3.63	0.06	3.20	0.33	671.48	663.4	1372.4	134.97	535.85	0	0	0.00
SF3-T4	1	177.7	2.982	2982457	0	4.7	13.07	0.0	36.6	2.54	10.53	8.76	0.34	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	215.68	207.4	425.0	58.92	156.33	0	0	100.00
SF3-T4	2	176.6	2.745	2470199	274467	4.6	13.07	0.0	42.7	4.60	8.47	6.82	0.34	0.02	5.62	0.0	18.2	0.21	4.51	0.91	4.01	0.39	259.57	246.3	528.7	70.60	188.49	0	0	100.00
SF3-T4	3	177.0	1.900	0	1899882	4.6	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	3.89	0.0	18.2	0.12	3.71	0.06	3.23	0.37	821.25	782.2	1561.6	156.35	664.13	0	0	0.00
SF3-T8	1	177.4	5.470	5470264	0	8.9	14.35	0.0	40.3	2.84	11.51	9.63	0.36	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	243.59	237.0	481.0	65.80	177.32	0	0	100.00
SF3-T8	2	177.2	4.797	4317505	479723	8.7	14.70	0.0	47.1	5.45	9.25	7.40	0.37	0.02	6.16	0.0	21.9	0.21	5.21	0.74	4.39	0.54	310.63	292.1	633.2	85.08	225.01	0	0	100.00
SF3-T8	3	177.0	2.894	0	2893653	8.7	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	4.09	0.0	17.4	0.18	3.87	0.05	3.09	0.51	1114.14	1046.2	2093.7	213.91	899.35	0	0	0.00
SF3-T12	1	176.9	7.501	7501168	0	12.5	15.76	0.0	44.4	3.18	12.58	10.56	0.39	0.02	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	281.35	266.4	573.6	74.55	206.28	0	0	100.00
SF3-T12	2	177.8	6.437	5793371	643708	12.7	15.93	0.0	51.5	6.19	9.74	7.70	0.41	0.02	6.52	0.0	22.9	0.24	5.68	0.59	4.69	0.62	366.21	345.3	742.8	100.25	265.37	0	0	100.00
SF3-T12	3	177.7	3.486	0	3485638	12.7	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	5.13	0.0	20.2	0.27	4.81	0.05	3.75	0.67	1426.69	1316.3	2667.4	276.12	1149.59	0	0	0.00
