label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
R5-OP	1	56.9	12.667	12666845	0	29.9	22.51	0.0	83.5	4.79	17.72	14.73	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	532.42	511.2	990.7	112.98	418.79	0	0	100.00
R5-OP	2	57.9	11.881	11286485	594026	29.9	22.46	0.0	114.7	6.78	15.67	12.74	0.57	0.03	8.17	0.0	30.5	0.47	7.45	0.25	6.23	0.81	574.36	548.8	1080.4	126.21	447.44	0	1	100.00
R5-OP	3	57.1	7.565	3782409	3782409	29.9	33.81	0.0	196.2	22.76	11.05	8.34	0.66	0.03	8.74	0.0	34.5	0.56	7.56	0.61	6.15	0.88	1613.78	1545.9	18446744073709552.0	356.80	1255.75	0	7	100.00
R5-P1	1	56.8	0.570	570400	0	22.1	18.09	0.0	137.6	7.05	11.03	8.26	1.63	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	44.21	33.5	228.9	0.32	41.34	0	0	100.00
R5-P1	2	56.8	0.564	535680	28194	21.7	18.94	0.0	143.3	7.81	11.13	8.42	1.62	0.05	14.52	0.0	109.2	1.28	12.78	0.46	8.94	2.83	43.65	32.6	229.1	0.32	40.69	0	0	100.00
R5-P1	3	56.8	0.563	281532	281532	22.3	27.97	0.0	188.6	15.82	12.15	9.42	1.89	0.06	14.49	0.0	106.4	0.88	13.32	0.30	11.16	1.53	42.25	30.5	227.3	0.32	39.11	0	1	100.00
R5-P8	1	57.8	3.334	3334073	0	23.5	28.43	0.0	124.9	10.10	18.33	14.77	0.94	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	70.28	56.5	325.7	8.88	60.26	0	0	100.00
R5-P8	2	57.8	3.335	3168458	166761	23.9	27.83	0.0	111.8	10.60	17.23	13.64	0.97	0.05	12.95	0.0	56.2	0.70	11.05	1.19	8.89	1.53	71.15	58.2	321.1	10.20	59.74	0	1	100.00
R5-P8	3	57.7	3.016	1508059	1508059	23.8	30.24	0.0	110.4	18.52	11.71	8.65	1.00	0.05	10.02	0.0	45.9	0.64	8.89	0.48	7.32	1.05	81.51	68.4	336.0	15.15	64.67	0	7	100.00
R5-P32	1	57.7	7.400	7399586	0	23.8	24.62	0.0	79.0	5.45	19.17	15.83	0.66	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	145.24	119.6	642.3	28.71	115.76	0	0	100.00
R5-P32	2	57.7	7.110	6754286	355489	24.0	24.47	0.0	82.7	7.57	16.90	13.65	0.66	0.04	9.51	0.0	37.0	0.53	8.51	0.47	7.02	1.02	152.45	126.4	669.8	32.94	118.67	0	12	100.00
R5-P32	3	57.6	5.761	2880518	2880518	25.3	31.44	0.0	96.9	20.53	10.91	7.97	0.76	0.03	8.80	0.0	36.6	0.54	7.69	0.57	6.29	0.89	205.41	172.5	879.4	52.94	151.18	0	32	100.00
R5-P64	1	56.9	9.654	9654042	0	28.8	24.61	0.0	72.2	5.51	19.10	15.73	0.67	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	154.93	142.7	335.7	32.61	121.56	0	0	100.00
R5-P64	2	57.8	9.045	8592648	452245	28.6	24.97	0.0	79.3	7.68	17.28	13.91	0.67	0.04	9.56	0.0	37.6	0.50	8.52	0.53	7.07	0.99	169.05	153.9	384.7	38.50	129.73	0	8	100.00
R5-P64	3	57.6	7.530	3764840	3764840	28.0	31.16	0.0	87.3	20.43	10.72	8.00	0.69	0.03	8.46	0.0	35.1	0.50	7.36	0.61	5.96	0.88	363.19	312.8	1356.1	101.00	260.99	0	45	100.00
R5-P128	1	57.8	12.292	12291977	0	29.5	22.31	0.0	72.0	4.77	17.54	14.48	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	259.42	244.7	511.1	57.54	201.24	0	0	100.00
R5-P128	2	56.8	11.485	10910352	574229	29.7	22.50	0.0	84.4	6.88	15.63	12.64	0.58	0.03	8.43	0.0	31.1	0.46	7.65	0.32	6.37	0.86	280.55	265.5	545.7	63.07	216.76	0	4	100.00
R5-P128	3	57.8	7.927	3963406	3963406	29.8	30.16	0.0	92.4	20.62	9.54	6.95	0.68	0.02	8.51	0.0	38.7	0.50	7.37	0.63	5.97	0.88	392.02	369.7	876.1	104.76	286.13	0	12	100.00
R5-P256	1	56.9	12.739	12738818	0	29.9	22.33	0.0	82.4	4.78	17.54	14.60	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	533.76	512.4	996.6	112.29	420.84	0	0	100.00
R5-P256	2	56.9	11.959	11360784	597936	29.9	22.32	0.0	115.1	6.75	15.57	12.67	0.56	0.03	8.10	0.0	30.1	0.47	7.39	0.25	6.17	0.80	571.68	547.6	1074.2	124.87	446.11	0	3	100.00
R5-P256	3	57.1	7.625	3812574	3812574	29.9	33.51	0.0	190.5	22.58	10.93	8.24	0.66	0.03	8.70	0.0	33.6	0.55	7.54	0.61	6.12	0.88	1599.36	1535.1	18446744073709552.0	354.52	1243.63	0	6	100.00
R5-P384	1	56.9	12.726	12725710	0	30.0	22.55	0.0	65.9	4.87	17.69	14.77	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	838.04	809.7	1540.0	166.32	671.09	0	0	100.00
R5-P384	2	57.0	11.645	11063192	582273	29.9	23.00	0.0	101.5	7.05	15.95	13.03	0.56	0.03	8.08	0.0	30.1	0.49	7.37	0.22	6.20	0.78	960.17	914.2	1883.6	194.96	764.51	0	2	100.00
R5-P384	3	57.3	7.585	3792345	3792346	29.9	33.07	0.0	106.2	22.70	10.36	7.74	0.65	0.03	8.83	0.0	33.3	0.57	7.69	0.57	6.29	0.87	2267.27	2259.9	18446744073709552.0	500.51	1765.55	0	9	100.00
R5-P512	1	57.0	12.294	12293885	0	29.9	23.25	0.0	60.8	5.15	18.10	15.18	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1219.46	1174.3	2343.3	231.14	987.69	0	0	100.00
R5-P512	2	57.9	5.162	4903993	258105	23.8	28.52	0.0	132.4	9.96	18.55	15.66	0.56	0.03	8.39	0.0	31.5	0.99	7.22	0.18	6.02	0.76	3117.50	2578.9	18446744073709552.0	465.58	2651.22	0	0	100.00
R5-P512	3	56.4	7.436	3717765	3717765	29.9	34.30	0.0	112.5	23.67	10.63	7.94	0.66	0.03	9.01	0.0	34.5	0.59	7.82	0.59	6.43	0.88	2432.97	2445.0	18446744073709552.0	525.17	1906.56	0	2	100.00
R5-E1x1024	1	56.8	12.384	12383502	0	29.1	21.55	0.0	57.9	3.63	17.92	14.94	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1085.49	1041.2	2856.9	435.57	649.27	0	0	100.00
R5-E1x1024	2	57.9	11.431	10858981	571525	29.4	21.07	0.0	58.1	5.67	15.39	12.42	0.57	0.03	8.22	0.0	31.9	0.50	7.50	0.22	6.30	0.79	1218.51	1176.4	2558.8	500.54	717.24	0	4	100.00
R5-E1x1024	3	56.7	7.846	3922814	3922814	28.9	29.97	0.0	79.3	19.04	10.92	8.12	0.65	0.03	8.50	0.0	31.9	0.51	6.94	1.05	5.55	0.87	1190.31	1105.8	1577.5	500.29	688.86	0	5	100.00
R5-E2x512	1	56.7	13.452	13452424	0	29.3	20.60	0.0	50.7	3.58	17.03	14.15	0.56	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	575.90	522.5	1437.1	216.61	358.67	0	0	100.00
R5-E2x512	2	56.9	11.571	10992781	578568	29.7	21.28	0.0	56.6	5.88	15.40	12.46	0.56	0.03	8.24	0.0	30.6	0.50	7.51	0.23	6.28	0.81	940.34	914.6	2116.9	356.18	583.42	0	4	100.00
R5-E2x512	3	56.9	7.880	3939915	3939915	29.9	30.24	0.0	81.7	20.16	10.08	7.48	0.65	0.03	8.30	0.0	30.8	0.55	7.15	0.59	5.73	0.89	1305.81	1173.9	2633.7	509.82	794.79	0	4	100.00
R5-E4x256	1	56.9	12.547	12547169	0	29.9	22.57	0.0	84.1	4.90	17.66	14.73	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	542.67	521.8	1033.1	112.81	429.22	0	0	100.00
