Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 2%,   1 secs] 30 threads  1 conns:    12292811 ops, 12269841 (avg: 12269841) ops/sec, 1.21GB/sec (avg: 1.21GB/sec),  2.46 (avg:  2.46) msec latency
[RUN #1 3%,   2 secs] 30 threads  1 conns:    24824151 ops, 12526905 (avg: 12398276) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 5%,   3 secs] 30 threads  1 conns:    37385048 ops, 12558862 (avg: 12451771) ops/sec, 1.24GB/sec (avg: 1.23GB/sec),  2.40 (avg:  2.42) msec latency
[RUN #1 7%,   4 secs] 30 threads  1 conns:    49383190 ops, 11996210 (avg: 12337935) ops/sec, 1.18GB/sec (avg: 1.22GB/sec),  2.52 (avg:  2.44) msec latency
[RUN #1 8%,   5 secs] 30 threads  1 conns:    61724297 ops, 12338923 (avg: 12338132) ops/sec, 1.22GB/sec (avg: 1.22GB/sec),  2.45 (avg:  2.44) msec latency
[RUN #1 10%,   6 secs] 30 threads  1 conns:    74212374 ops, 12485941 (avg: 12362759) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.42 (avg:  2.44) msec latency
[RUN #1 12%,   7 secs] 30 threads  1 conns:    86631210 ops, 12414118 (avg: 12370096) ops/sec, 1.22GB/sec (avg: 1.22GB/sec),  2.43 (avg:  2.44) msec latency
[RUN #1 13%,   8 secs] 30 threads  1 conns:    99061984 ops, 12426586 (avg: 12377156) ops/sec, 1.22GB/sec (avg: 1.22GB/sec),  2.43 (avg:  2.44) msec latency
[RUN #1 15%,   9 secs] 30 threads  1 conns:   111605865 ops, 12541460 (avg: 12395408) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 17%,  10 secs] 30 threads  1 conns:   123528230 ops, 11920326 (avg: 12347911) ops/sec, 1.17GB/sec (avg: 1.22GB/sec),  2.53 (avg:  2.44) msec latency
[RUN #1 18%,  11 secs] 30 threads  1 conns:   135581607 ops, 12051617 (avg: 12320981) ops/sec, 1.19GB/sec (avg: 1.21GB/sec),  2.51 (avg:  2.45) msec latency
[RUN #1 20%,  12 secs] 30 threads  1 conns:   148157937 ops, 12573174 (avg: 12341995) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.40 (avg:  2.44) msec latency
[RUN #1 22%,  13 secs] 30 threads  1 conns:   160758655 ops, 12598840 (avg: 12361748) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.39 (avg:  2.44) msec latency
[RUN #1 23%,  14 secs] 30 threads  1 conns:   173338836 ops, 12577992 (avg: 12377191) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.40 (avg:  2.44) msec latency
[RUN #1 25%,  15 secs] 30 threads  1 conns:   185967323 ops, 12625747 (avg: 12393760) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.39 (avg:  2.43) msec latency
[RUN #1 27%,  16 secs] 30 threads  1 conns:   198301463 ops, 12332191 (avg: 12389913) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.45 (avg:  2.44) msec latency
[RUN #1 28%,  17 secs] 30 threads  1 conns:   210574194 ops, 12270264 (avg: 12382875) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.46 (avg:  2.44) msec latency
[RUN #1 30%,  18 secs] 30 threads  1 conns:   223155041 ops, 12578431 (avg: 12393738) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.40 (avg:  2.43) msec latency
[RUN #1 32%,  19 secs] 30 threads  1 conns:   235677090 ops, 12520170 (avg: 12400392) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 33%,  20 secs] 30 threads  1 conns:   248301405 ops, 12622017 (avg: 12411472) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.39 (avg:  2.43) msec latency
[RUN #1 35%,  21 secs] 30 threads  1 conns:   260835752 ops, 12529485 (avg: 12417092) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 37%,  22 secs] 30 threads  1 conns:   273128633 ops, 12290717 (avg: 12411348) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.46 (avg:  2.43) msec latency
[RUN #1 38%,  23 secs] 30 threads  1 conns:   285414647 ops, 12283655 (avg: 12405797) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.46 (avg:  2.43) msec latency
[RUN #1 40%,  24 secs] 30 threads  1 conns:   297944419 ops, 12527016 (avg: 12410847) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 42%,  25 secs] 30 threads  1 conns:   310478753 ops, 12532278 (avg: 12415704) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.41 (avg:  2.43) msec latency
[RUN #1 43%,  26 secs] 30 threads  1 conns:   323036730 ops, 12554662 (avg: 12421048) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.40 (avg:  2.43) msec latency
[RUN #1 45%,  27 secs] 30 threads  1 conns:   335646407 ops, 12607105 (avg: 12427939) ops/sec, 1.24GB/sec (avg: 1.22GB/sec),  2.39 (avg:  2.43) msec latency
[RUN #1 47%,  28 secs] 30 threads  1 conns:   347709541 ops, 12061131 (avg: 12414840) ops/sec, 1.19GB/sec (avg: 1.22GB/sec),  2.50 (avg:  2.43) msec latency
[RUN #1 48%,  29 secs] 30 threads  1 conns:   360030153 ops, 12318468 (avg: 12411517) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.45 (avg:  2.43) msec latency
[RUN #1 50%,  30 secs] 30 threads  1 conns:   372505600 ops, 12473326 (avg: 12413577) ops/sec, 1.23GB/sec (avg: 1.22GB/sec),  2.42 (avg:  2.43) msec latency
[RUN #1 52%,  31 secs] 30 threads  1 conns:   384829819 ops, 12322419 (avg: 12410637) ops/sec, 1.21GB/sec (avg: 1.22GB/sec),  2.45 (avg:  2.43) msec latency
