Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 2%,   1 secs] 30 threads  4 conns:    12276637 ops, 12265977 (avg: 12265977) ops/sec, 1.21GB/sec (avg: 1.21GB/sec),  2.45 (avg:  2.45) msec latency
[RUN #1 3%,   2 secs] 30 threads  4 conns:    25187312 ops, 12908467 (avg: 12587110) ops/sec, 1.27GB/sec (avg: 1.24GB/sec),  2.33 (avg:  2.39) msec latency
[RUN #1 5%,   3 secs] 30 threads  4 conns:    37750207 ops, 12560860 (avg: 12578362) ops/sec, 1.24GB/sec (avg: 1.24GB/sec),  2.40 (avg:  2.39) msec latency
[RUN #1 7%,   4 secs] 30 threads  4 conns:    50206609 ops, 12453662 (avg: 12547191) ops/sec, 1.23GB/sec (avg: 1.24GB/sec),  2.42 (avg:  2.40) msec latency
[RUN #1 8%,   5 secs] 30 threads  4 conns:    63053921 ops, 12844974 (avg: 12606739) ops/sec, 1.27GB/sec (avg: 1.24GB/sec),  2.34 (avg:  2.39) msec latency
[RUN #1 10%,   6 secs] 30 threads  4 conns:    75932201 ops, 12875421 (avg: 12651516) ops/sec, 1.27GB/sec (avg: 1.25GB/sec),  2.34 (avg:  2.38) msec latency
[RUN #1 12%,   7 secs] 30 threads  4 conns:    88766058 ops, 12831572 (avg: 12677236) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.35 (avg:  2.37) msec latency
[RUN #1 13%,   8 secs] 30 threads  4 conns:   101739596 ops, 12971488 (avg: 12714013) ops/sec, 1.28GB/sec (avg: 1.25GB/sec),  2.32 (avg:  2.37) msec latency
[RUN #1 15%,   9 secs] 30 threads  4 conns:   114304183 ops, 12561936 (avg: 12697116) ops/sec, 1.24GB/sec (avg: 1.25GB/sec),  2.40 (avg:  2.37) msec latency
[RUN #1 17%,  10 secs] 30 threads  4 conns:   126809122 ops, 12502088 (avg: 12677614) ops/sec, 1.23GB/sec (avg: 1.25GB/sec),  2.41 (avg:  2.37) msec latency
[RUN #1 18%,  11 secs] 30 threads  4 conns:   139627114 ops, 12815403 (avg: 12690140) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.35 (avg:  2.37) msec latency
[RUN #1 20%,  12 secs] 30 threads  4 conns:   152390706 ops, 12760682 (avg: 12696018) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.36 (avg:  2.37) msec latency
[RUN #1 22%,  13 secs] 30 threads  4 conns:   165321065 ops, 12928044 (avg: 12713865) ops/sec, 1.27GB/sec (avg: 1.25GB/sec),  2.33 (avg:  2.37) msec latency
[RUN #1 23%,  14 secs] 30 threads  4 conns:   178185244 ops, 12861400 (avg: 12724403) ops/sec, 1.27GB/sec (avg: 1.25GB/sec),  2.34 (avg:  2.37) msec latency
[RUN #1 25%,  15 secs] 30 threads  4 conns:   190604800 ops, 12415434 (avg: 12703803) ops/sec, 1.22GB/sec (avg: 1.25GB/sec),  2.43 (avg:  2.37) msec latency
[RUN #1 27%,  16 secs] 30 threads  4 conns:   202583741 ops, 11976869 (avg: 12658373) ops/sec, 1.18GB/sec (avg: 1.25GB/sec),  2.52 (avg:  2.38) msec latency
[RUN #1 28%,  17 secs] 30 threads  4 conns:   215184989 ops, 12599345 (avg: 12654901) ops/sec, 1.24GB/sec (avg: 1.25GB/sec),  2.39 (avg:  2.38) msec latency
[RUN #1 30%,  18 secs] 30 threads  4 conns:   228022102 ops, 12835213 (avg: 12664918) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.34 (avg:  2.38) msec latency
[RUN #1 32%,  19 secs] 30 threads  4 conns:   240913737 ops, 12889701 (avg: 12676748) ops/sec, 1.27GB/sec (avg: 1.25GB/sec),  2.33 (avg:  2.37) msec latency
[RUN #1 33%,  20 secs] 30 threads  4 conns:   253782058 ops, 12865825 (avg: 12686201) ops/sec, 1.27GB/sec (avg: 1.25GB/sec),  2.34 (avg:  2.37) msec latency
[RUN #1 35%,  21 secs] 30 threads  4 conns:   266278203 ops, 12494021 (avg: 12677050) ops/sec, 1.23GB/sec (avg: 1.25GB/sec),  2.41 (avg:  2.37) msec latency
[RUN #1 37%,  22 secs] 30 threads  4 conns:   278548139 ops, 12267899 (avg: 12658453) ops/sec, 1.21GB/sec (avg: 1.25GB/sec),  2.46 (avg:  2.38) msec latency
[RUN #1 38%,  23 secs] 30 threads  4 conns:   291263768 ops, 12712196 (avg: 12660790) ops/sec, 1.25GB/sec (avg: 1.25GB/sec),  2.37 (avg:  2.38) msec latency
[RUN #1 40%,  24 secs] 30 threads  4 conns:   304015248 ops, 12749261 (avg: 12664476) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.36 (avg:  2.38) msec latency
[RUN #1 42%,  25 secs] 30 threads  4 conns:   316772122 ops, 12754603 (avg: 12668081) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.36 (avg:  2.38) msec latency
[RUN #1 43%,  26 secs] 30 threads  4 conns:   329559680 ops, 12785614 (avg: 12672601) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.35 (avg:  2.38) msec latency
[RUN #1 45%,  27 secs] 30 threads  4 conns:   342110413 ops, 12547796 (avg: 12667979) ops/sec, 1.24GB/sec (avg: 1.25GB/sec),  2.40 (avg:  2.38) msec latency
[RUN #1 47%,  28 secs] 30 threads  4 conns:   354522945 ops, 12410546 (avg: 12658785) ops/sec, 1.22GB/sec (avg: 1.25GB/sec),  2.43 (avg:  2.38) msec latency
[RUN #1 48%,  29 secs] 30 threads  4 conns:   367212632 ops, 12687377 (avg: 12659771) ops/sec, 1.25GB/sec (avg: 1.25GB/sec),  2.37 (avg:  2.38) msec latency
[RUN #1 50%,  30 secs] 30 threads  4 conns:   379967191 ops, 12750580 (avg: 12662799) ops/sec, 1.26GB/sec (avg: 1.25GB/sec),  2.36 (avg:  2.38) msec latency
[RUN #1 52%,  31 secs] 30 threads  4 conns:   392325250 ops, 12355316 (avg: 12652880) ops/sec, 1.22GB/sec (avg: 1.25GB/sec),  2.44 (avg:  2.38) msec latency
[RUN #1 53%,  32 secs] 30 threads  4 conns:   404869531 ops, 12541797 (avg: 12649408) ops/sec, 1.24GB/sec (avg: 1.25GB/sec),  2.40 (avg:  2.38) msec latency
[RUN #1 55%,  33 secs] 30 threads  4 conns:   417461524 ops, 12588518 (avg: 12647563) ops/sec, 1.24GB/sec (avg: 1.25GB/sec),  2.39 (avg:  2.38) msec latency
