cell	start_utc	end_utc	pipe	ratio	dur	ops_M	avg	p50	p99	p999
SLOTAB-256	2026-08-06T06:12:40Z	2026-08-06T06:15:40Z	256	0:1	180	8.722	3.48352	3.35900	6.27100	9.66300
SF-OP-GET	2026-08-06T06:19:08Z	2026-08-06T06:22:08Z	256	0:1	180	6.336	4.80807	4.47900	9.91900	13.24700
SF-OP-MIX	2026-08-06T06:22:32Z	2026-08-06T06:25:32Z	256	1:9	180	5.697	5.34906	5.02300	10.36700	14.01500
SF-OP-SET	2026-08-06T06:25:56Z	2026-08-06T06:28:57Z	256	1:0	180	3.571	8.53270	6.94300	13.88700	20.73500
SF-OP-GET	2026-08-06T06:52:54Z	2026-08-06T06:55:55Z	256	0:1	180	6.873	4.42944	4.19100	8.76700	12.09500
SF-OP-MIX	2026-08-06T06:56:19Z	2026-08-06T06:59:19Z	256	1:9	180	6.099	4.99368	4.76700	9.53500	13.31100
SF-OP-SET	2026-08-06T06:59:43Z	2026-08-06T07:02:43Z	256	1:0	180	3.525	8.64592	7.00700	14.14300	21.11900
ATTR-A	2026-08-06T07:12:47Z	2026-08-06T07:15:47Z	256	0:1	180	7.617	3.99360	3.79100	7.74300	10.81500
ATTR-B	2026-08-06T07:18:12Z	2026-08-06T07:21:12Z	256	0:1	180	12.794	2.35465	2.27100	4.15900	7.32700
SF-OP-GET	2026-08-06T07:24:17Z	2026-08-06T07:27:17Z	256	0:1	180	12.828	2.34568	2.27100	4.15900	7.39100
SF-OP-MIX	2026-08-06T07:27:41Z	2026-08-06T07:30:41Z	256	1:9	180	10.680	2.83657	2.75100	4.83100	8.19100
SF-OP-SET	2026-08-06T07:31:05Z	2026-08-06T07:34:05Z	256	1:0	180	5.673	5.35596	4.38300	9.34300	13.82300
SF3-OP-GET	2026-08-06T07:53:51Z	2026-08-06T07:56:51Z	256	0:1	180	12.873	2.33946	2.25500	4.12700	7.23100
SF3-OP-MIX	2026-08-06T07:57:19Z	2026-08-06T08:00:19Z	256	1:9	180	10.687	2.83431	2.73500	4.89500	8.12700
SF3-OP-SET	2026-08-06T08:00:46Z	2026-08-06T08:03:46Z	256	1:0	180	5.635	5.39221	4.38300	9.27900	13.82300
SF3-P1-GET	2026-08-06T08:05:09Z	2026-08-06T08:08:09Z	1	0:1	180	0.567	0.20955	0.18300	0.58300	1.02300
SF3-P1-MIX	2026-08-06T08:08:36Z	2026-08-06T08:11:36Z	1	1:9	180	0.563	0.21108	0.18300	0.60700	1.07100
SF3-P1-SET	2026-08-06T08:12:04Z	2026-08-06T08:15:04Z	1	1:0	180	0.570	0.20966	0.18300	0.58300	1.07100
SF3-P8-GET	2026-08-06T08:15:31Z	2026-08-06T08:18:31Z	8	0:1	180	3.406	0.27209	0.21500	1.02300	1.62300
SF3-P8-MIX	2026-08-06T08:18:59Z	2026-08-06T08:21:59Z	8	1:9	180	3.355	0.27785	0.21500	1.09500	1.80700
SF3-P8-SET	2026-08-06T08:22:26Z	2026-08-06T08:25:26Z	8	1:0	180	2.788	0.34149	0.28700	1.23900	2.15900
SF3-P32-GET	2026-08-06T08:25:53Z	2026-08-06T08:28:53Z	32	0:1	180	7.521	0.48360	0.40700	1.59900	2.54300
SF3-P32-MIX	2026-08-06T08:29:21Z	2026-08-06T08:32:21Z	32	1:9	180	6.846	0.53458	0.44700	1.79900	2.91100
SF3-P32-SET	2026-08-06T08:32:47Z	2026-08-06T08:35:48Z	32	1:0	180	4.720	0.80194	0.71900	2.54300	4.03100
SF3-P64-GET	2026-08-06T08:36:14Z	2026-08-06T08:39:14Z	64	0:1	180	9.900	0.74317	0.70300	2.07900	4.67100
SF3-P64-MIX	2026-08-06T08:39:42Z	2026-08-06T08:42:42Z	64	1:9	180	8.451	0.87402	0.82300	2.63900	4.95900
SF3-P64-SET	2026-08-06T08:43:09Z	2026-08-06T08:46:09Z	64	1:0	180	5.515	1.37296	1.35900	2.01500	4.92700
SF3-P128-GET	2026-08-06T08:46:37Z	2026-08-06T08:49:37Z	128	0:1	180	12.102	1.22347	1.18300	2.51100	5.66300
SF3-P128-MIX	2026-08-06T08:50:04Z	2026-08-06T08:53:04Z	128	1:9	180	10.213	1.46654	1.44700	2.52700	5.69500
SF3-P128-SET	2026-08-06T08:53:31Z	2026-08-06T08:56:32Z	128	1:0	180	5.819	2.59988	2.59100	3.83900	6.84700
SF3-P256-GET	2026-08-06T08:56:59Z	2026-08-06T08:59:59Z	256	0:1	180	12.828	2.34767	2.27100	4.25500	7.39100
SF3-P256-MIX	2026-08-06T09:00:27Z	2026-08-06T09:03:27Z	256	1:9	180	10.659	2.84244	2.75100	4.86300	8.15900
SF3-P256-SET	2026-08-06T09:03:54Z	2026-08-06T09:06:54Z	256	1:0	180	5.636	5.39097	4.41500	9.27900	13.75900
SF3-P384-GET	2026-08-06T09:07:22Z	2026-08-06T09:10:22Z	384	0:1	180	12.741	3.56958	3.27900	6.39900	10.68700
SF3-P384-MIX	2026-08-06T09:10:49Z	2026-08-06T09:13:49Z	384	1:9	180	9.817	4.64904	4.38300	10.23900	13.75900
SF3-P384-SET	2026-08-06T09:14:16Z	2026-08-06T09:17:16Z	384	1:0	180	5.628	8.12598	7.99900	12.54300	16.89500
SF3-P512-GET	2026-08-06T09:17:43Z	2026-08-06T09:20:44Z	512	0:1	180	12.419	4.90228	4.41500	9.21500	14.78300
SF3-P512-MIX	2026-08-06T09:21:11Z	2026-08-06T09:24:11Z	512	1:9	180	7.261	8.41520	7.16700	23.93500	32.51100
