label	seq	secs	Mops	get_s	set_s	busy	Gv3_avg	Gv3_p50	Gv3_p99	Gadmit	Gv2	Gxfer	Gcrypto	Gsync	Sv3_avg	Sv3_p50	Sv3_p99	Sadmit	Sv2	Sret	Sxfer	Scrypto	srv	srv_p50	srv_p99	que	bk	err5	badcrc	hit_pct
SF-OP	1	177.9	12.830	12829650	0	29.9	22.26	0.0	81.8	4.63	17.63	14.61	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	520.40	498.5	976.4	111.31	408.47	0	0	100.00
SF-OP	2	177.6	10.674	9606446	1067383	29.9	23.08	0.0	135.6	9.50	13.58	10.51	0.61	0.03	9.10	0.0	31.4	0.51	7.97	0.62	6.50	0.92	645.79	611.9	1217.4	146.56	498.50	0	14	100.00
SF-OP	3	176.9	5.674	0	5673708	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.07	0.0	32.6	0.65	7.29	0.13	5.62	1.01	2295.16	2108.2	18446744073709552.0	431.85	1862.16	0	0	0.00
SF3-OP	1	176.8	12.872	12872054	0	29.9	22.18	0.0	81.2	4.63	17.55	14.55	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	520.51	499.1	972.5	111.19	408.71	0	0	100.00
SF3-OP	2	176.6	10.691	9622162	1069129	29.9	23.05	0.0	133.8	9.50	13.55	10.51	0.61	0.03	9.06	0.0	31.3	0.51	7.93	0.62	6.46	0.91	644.29	610.7	1225.9	146.62	496.94	0	12	100.00
SF3-OP	3	177.0	5.637	0	5637083	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.10	0.0	32.5	0.66	7.31	0.13	5.64	1.00	2314.34	2129.7	18446744073709552.0	434.01	1879.17	0	0	0.00
SF3-P	1	176.4	0.567	567230	0	22.5	17.74	0.0	128.7	6.91	10.84	8.08	1.63	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	43.69	32.7	219.6	0.34	40.92	0	0	100.00
SF3-P	2	176.5	0.563	507128	56348	22.2	20.48	0.0	150.0	9.00	11.47	8.69	1.68	0.05	13.99	0.0	102.2	1.17	12.42	0.40	9.19	2.32	44.42	33.0	231.1	0.34	41.42	0	1	100.00
SF3-P	3	176.5	0.570	0	569990	22.0	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	16.42	0.0	121.1	0.87	15.29	0.26	13.42	1.31	38.65	28.5	203.3	0.31	35.99	0	0	0.00
SF3-P	4	177.4	3.401	3400984	0	23.5	26.87	0.0	122.8	9.24	17.63	14.22	0.91	0.05	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	68.51	55.1	323.7	8.50	58.90	0	0	100.00
SF3-P	5	177.3	3.356	3020055	335562	24.1	27.62	0.0	106.4	11.69	15.93	12.37	0.96	0.05	12.23	0.0	52.8	0.66	10.53	1.04	8.57	1.34	70.93	58.7	293.7	10.74	58.96	0	15	100.00
SF3-P	6	177.1	2.788	0	2788032	23.3	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.95	0.0	42.9	0.66	8.14	0.15	6.47	1.07	88.38	72.3	393.4	19.00	67.84	0	0	0.00
SF3-P	7	178.1	7.510	7510222	0	24.0	24.41	0.0	78.9	5.58	18.83	15.50	0.67	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	141.99	117.5	618.0	28.54	112.71	0	0	100.00
SF3-P	8	177.0	6.848	6163564	684840	24.7	24.59	0.0	86.0	9.90	14.69	11.23	0.72	0.04	10.06	0.0	37.3	0.54	8.77	0.75	7.21	1.01	161.79	136.1	677.3	36.99	123.93	0	48	100.00
SF3-P	9	176.6	4.721	0	4720529	26.3	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.23	0.0	32.2	0.62	7.48	0.13	5.76	1.05	273.99	221.6	1117.2	77.74	194.97	0	0	0.00
SF3-P	10	177.7	9.890	9889601	0	29.1	24.29	0.0	73.5	5.51	18.78	15.37	0.68	0.04	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	154.03	142.4	329.0	32.19	121.12	0	0	100.00
SF3-P	11	177.5	8.442	7597814	844202	28.9	25.57	0.0	82.4	10.36	15.21	11.62	0.73	0.04	10.26	0.0	38.2	0.53	8.90	0.83	7.28	1.03	194.14	177.9	438.2	47.35	145.94	0	30	100.00
SF3-P	12	177.2	5.513	0	5513360	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.18	0.0	38.3	0.62	7.42	0.13	5.65	1.08	523.30	507.6	1053.0	154.86	367.25	0	0	0.00
SF3-P	13	177.7	12.096	12096157	0	29.5	22.78	0.0	71.0	4.78	17.99	14.80	0.63	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	254.30	240.2	505.8	57.86	195.81	0	0	100.00
SF3-P	14	177.4	10.203	9182858	1020318	29.8	23.43	0.0	89.3	9.60	13.83	10.67	0.64	0.03	9.38	0.0	32.4	0.51	8.16	0.71	6.65	0.95	310.27	292.4	607.3	73.19	236.33	0	13	100.00
SF3-P	15	177.3	5.821	0	5820565	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.85	0.0	39.0	0.61	7.11	0.13	5.40	1.03	987.78	986.1	1941.3	297.68	689.00	0	0	0.00
SF3-P	16	177.8	12.828	12827807	0	29.9	22.23	0.0	81.2	4.67	17.56	14.58	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	521.27	500.1	991.2	111.10	409.55	0	0	100.00
SF3-P	17	177.7	10.665	9598223	1066469	29.9	23.09	0.0	134.2	9.52	13.56	10.51	0.61	0.03	9.06	0.0	31.4	0.51	7.94	0.61	6.47	0.91	646.78	613.5	1222.8	146.81	499.24	0	11	100.00
SF3-P	18	177.9	5.632	0	5631685	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.10	0.0	32.6	0.66	7.31	0.13	5.64	1.00	2315.03	2133.3	18446744073709552.0	433.88	1879.98	0	0	0.00
SF3-P	19	177.1	12.744	12743620	0	30.0	22.57	0.0	67.2	4.80	17.77	14.83	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	831.70	802.5	1533.0	166.04	665.04	0	0	100.00
SF3-P	20	176.7	9.819	8836842	981871	29.9	25.16	0.0	90.9	10.42	14.75	11.63	0.62	0.03	9.36	0.0	31.7	0.57	8.13	0.65	6.68	0.90	1650.95	1573.7	18446744073709552.0	333.70	1316.46	0	9	100.00
SF3-P	21	178.2	5.619	0	5618534	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.11	0.0	32.9	0.67	7.31	0.13	5.66	1.00	2478.71	2371.3	18446744073709552.0	447.72	2029.83	0	0	0.00
SF3-P	22	177.3	12.420	12419595	0	29.9	23.21	0.0	61.5	5.04	18.17	15.24	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1200.43	1153.9	2321.2	231.20	968.60	0	0	100.00
SF3-P	23	177.8	7.250	6525278	725031	27.3	27.41	0.0	104.7	11.76	15.65	12.53	0.61	0.03	9.33	0.0	32.9	0.86	8.03	0.45	6.64	0.85	2815.69	2599.4	18446744073709552.0	496.14	2318.76	0	2	100.00
SF3-P	24	177.1	5.613	0	5613114	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.9	0.68	7.32	0.13	5.67	1.00	2484.54	2306.7	18446744073709552.0	448.49	2034.88	0	0	0.00
SF3-E	1	177.2	12.216	12215782	0	28.8	22.00	0.0	57.7	3.67	18.32	15.29	0.59	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	1107.37	1060.2	18446744073709552.0	446.11	660.60	0	0	100.00
SF3-E	2	176.5	10.533	9479687	1053299	29.9	21.11	0.0	60.1	8.34	12.77	9.76	0.61	0.03	9.19	0.0	33.1	0.54	7.96	0.69	6.50	0.91	1354.72	1325.1	2241.9	578.50	775.47	0	17	100.00
SF3-E	3	176.8	5.359	0	5358731	26.0	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.91	0.0	27.6	0.56	6.47	0.88	4.86	0.98	1024.55	884.6	1077.1	411.28	612.20	0	0	0.00
SF3-E	4	177.3	13.447	13446646	0	29.2	20.79	0.0	51.3	3.56	17.23	14.32	0.57	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	574.14	522.4	1443.8	219.29	354.23	0	0	100.00
SF3-E	5	176.8	10.454	9408434	1045382	29.8	21.68	0.0	59.1	8.64	13.04	10.02	0.61	0.03	9.28	0.0	31.7	0.55	8.04	0.70	6.55	0.93	1097.06	1053.1	2413.5	435.88	660.41	0	15	100.00
SF3-E	6	177.9	5.757	0	5756708	29.8	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	7.90	0.0	34.6	0.63	7.14	0.13	5.45	1.02	1443.88	1494.7	2159.9	443.26	999.48	0	0	0.00
SF3-E	7	176.9	12.512	12511977	0	29.9	22.67	0.0	83.1	4.87	17.80	14.83	0.58	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	541.62	520.4	1013.3	113.42	427.57	0	0	100.00
SF3-E	8	177.6	10.493	9444111	1049346	29.9	23.34	0.0	135.7	9.67	13.68	10.62	0.61	0.03	9.04	0.0	31.4	0.53	7.93	0.58	6.46	0.91	656.54	623.0	1255.2	148.05	507.74	0	13	100.00
SF3-E	9	177.0	5.597	0	5596621	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.13	0.0	32.7	0.68	7.33	0.13	5.67	1.00	2338.28	2152.6	18446744073709552.0	435.61	1901.49	0	0	0.00
SF3-E	10	177.0	11.590	11590485	0	30.0	24.66	0.0	107.3	5.85	18.82	15.72	0.60	0.03	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	579.27	560.9	1056.7	61.50	517.11	0	0	100.00
SF3-E	11	177.9	9.812	8831182	981242	29.9	25.63	0.0	214.3	10.73	14.90	11.75	0.62	0.03	9.25	0.0	32.3	0.54	8.10	0.62	6.61	0.93	660.53	636.1	1237.7	75.90	583.87	0	11	100.00
SF3-E	12	177.5	5.634	0	5633542	29.9	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	8.12	0.0	36.9	0.67	7.33	0.13	5.66	1.00	1994.97	1967.9	18446744073709552.0	299.70	1694.13	0	0	0.00
