extstore watch — window 60s, opened 06:28:26Z

     t      get/s      set/s    hit%  Gv3_avg  Gv3_p50  Gv3_p99  Sv3_avg  Sv3_p50  Sv3_p99   wait/s busyCPU   err
------ ---------- ---------- ------- -------- -------- -------- -------- -------- -------- -------- ------ -----
    1s     5.907M     0.656M 100.00%  25.21us  20.70us  79.00us  10.41us   8.00us  38.10us     0.0M   28.7     0
    2s     7.708M     0.856M 100.00%  25.21us  20.70us  78.50us  10.41us   8.00us  38.10us     0.0M   28.6     0
    3s     7.733M     0.859M 100.00%  25.17us  20.70us  78.50us  10.41us   8.00us  38.20us     0.0M   28.8     1
    4s     7.587M     0.843M 100.00%  25.28us  20.70us  79.10us  10.44us   8.00us  38.40us     0.0M   29.2     1
    5s     7.668M     0.852M 100.00%  25.28us  20.70us  79.00us  10.44us   8.00us  38.40us     0.0M   28.7     1
    7s     7.743M     0.860M 100.00%  25.27us  20.70us  78.90us  10.44us   8.00us  38.40us     0.0M   28.8     1
    8s     7.807M     0.867M 100.00%  25.22us  20.70us  78.80us  10.43us   8.00us  38.40us     0.0M   28.7     1
    9s     7.713M     0.857M 100.00%  25.22us  20.70us  78.70us  10.43us   8.00us  38.40us     0.0M   28.6     1
   10s     7.571M     0.841M 100.00%  25.27us  20.70us  79.00us  10.44us   8.00us  38.50us     0.0M   28.9     1
   11s     7.614M     0.846M 100.00%  25.30us  20.80us  79.10us  10.44us   8.00us  38.50us     0.0M   29.1     1
   12s     7.722M     0.858M 100.00%  25.30us  20.80us  79.00us  10.45us   8.00us  38.60us     0.0M   28.8     1
   13s     7.730M     0.859M 100.00%  25.29us  20.80us  79.00us  10.45us   8.00us  38.60us     0.0M   28.7     2
   14s     7.718M     0.858M 100.00%  25.28us  20.80us  78.90us  10.45us   8.00us  38.60us     0.0M   28.7     2
   15s     7.706M     0.856M 100.00%  25.28us  20.80us  78.90us  10.44us   8.00us  38.50us     0.0M   28.7     2
   16s     7.444M     0.827M 100.00%  25.32us  20.80us  79.10us  10.46us   8.00us  38.60us     0.0M   29.3     2
   18s     7.737M     0.860M 100.00%  25.31us  20.80us  79.10us  10.46us   8.00us  38.60us     0.0M   28.7     3
   19s     7.733M     0.859M 100.00%  25.31us  20.80us  79.00us  10.46us   8.00us  38.60us     0.0M   28.7     3
   20s     7.670M     0.852M 100.00%  25.31us  20.80us  79.00us  10.46us   8.00us  38.60us     0.0M   28.7     3
   21s     7.717M     0.857M 100.00%  25.30us  20.80us  79.00us  10.46us   8.00us  38.50us     0.0M   28.6     4
   22s     7.596M     0.844M 100.00%  25.32us  20.80us  79.00us  10.46us   8.00us  38.50us     0.0M   29.1     4
   23s     7.620M     0.847M 100.00%  25.33us  20.80us  79.10us  10.46us   8.00us  38.60us     0.0M   28.9     4
   24s     7.780M     0.864M 100.00%  25.32us  20.80us  79.00us  10.46us   8.00us  38.50us     0.0M   28.6     4
   25s     7.710M     0.857M 100.00%  25.32us  20.80us  79.00us  10.46us   8.00us  38.50us     0.0M   28.6     4
   26s     7.723M     0.858M 100.00%  25.31us  20.80us  79.00us  10.46us   8.00us  38.50us     0.0M   28.7     4
   27s     7.739M     0.860M 100.00%  25.30us  20.70us  78.90us  10.46us   8.00us  38.50us     0.0M   28.6     4
   29s     7.511M     0.835M 100.00%  25.32us  20.70us  79.00us  10.47us   8.00us  38.50us     0.0M   29.1     5
   30s     7.737M     0.860M 100.00%  25.32us  20.70us  79.00us  10.46us   8.00us  38.50us     0.0M   28.6     5
   31s     7.747M     0.861M 100.00%  25.31us  20.70us  79.00us  10.46us   8.00us  38.50us     0.0M   28.7     5
   32s     7.721M     0.858M 100.00%  25.30us  20.70us  78.90us  10.46us   8.00us  38.50us     0.0M   28.7     5
   33s     7.651M     0.850M 100.00%  25.31us  20.70us  78.90us  10.47us   8.00us  38.50us     0.0M   29.0     5
   34s     7.525M     0.836M 100.00%  25.32us  20.70us  79.00us  10.47us   8.00us  38.50us     0.0M   29.0     5
   35s     7.589M     0.843M 100.00%  25.33us  20.70us  79.00us  10.47us   8.00us  38.50us     0.0M   28.6     5
   36s     7.756M     0.862M 100.00%  25.32us  20.70us  78.90us  10.47us   8.00us  38.50us     0.0M   28.5     5
