cell	workload	window_s	get_s	set_s	total_Mops	Gspan_avg	Gspan_p50	Gspan_p99	Sspan_avg	Sspan_p50	Sspan_p99	client_avg	client_p50	client_p99	srv	que	pre	post	admit	xfer	crypto	sync	ret	busyCPU	err5	badcrc	hit_pct	coverage
C1-64-GET-r1	W1	59.8	10.051	0	10.051	23.758	18.8	69.3							146.68	31.23	0.7	91.0	5.25	15.11	0.67	0.04		29.9	0	0		+1.4031 오염→행채택
C1-64-MIX-r1	W2	60.6	7.688	0.854	8.542	25.332	20.8	78.8	10.477	8.0	38.5				186.47	46.43	0.84	113.88	10.06	11.73	0.73	0.04			0			+0.0047 OK
C1-64-SET-r1	W3	60.0	0	5.611	5.611				8.032	6.500	37.300				514.73	153.25	1.19	352.26	0.59	5.55	1.08	0.02	0.10		0			+0.0049 OK
C1-384-GET-r1	W1	60.0	13.057	0	13.057	22.117	18.200	66.200							809.50	162.69	0.60	624.09	4.71	14.46	0.57	0.03			0	0		+5.2191 오염→행채택
C1-384-MIX-r1	W2	59.9	9.135	1.015	10.150	24.484	20.000	INVALID	9.364	8.000	31.600				1587.14	325.93	0.77	1235.95	9.89	11.31	0.62	0.03			0			+0.0017 OK
C1-384-SET-r1	W3	59.6	0	5.737	5.737				7.940	6.600	32.100				2431.93	440.43	1.16	1982.40	0.65	5.54	0.99	0.02			0			srv/bk p99 CLIPPED(3276.7=최상단버킷)
A16-1-GET-r1	W1	59.9	12.766	0	12.766	22.627	18.600	79.400							525.50	114.00	0.62	388.26	4.61	14.72	0.63	0.03		29.9	0	0		+0.6475 오염→행채택
A16-1-MIX-r1	W2	60.6	9.570	1.063	10.634	23.238	17.600	127.300	9.341	8.100	31.400				646.79	148.35	0.73	474.48	9.66	10.09	0.64	0.03			0			+0.0016 OK
A16-1-SET-r1	W3	60.5	0	5.796	5.796				7.842	6.600	31.500				2247.82	423.46	1.16	1815.35	0.64	5.42	1.01	0.02			0			srv/bk p99 CLIP(정상표시)
A16-2-GET-r1	W1	60.0	12.813	0	12.813	22.347	18.200	81.000							520.51	112.21	0.61	385.34	4.63	14.75	0.63	0.03			0	0		+0.0271 OK
A16-2-MIX-r1	W2				10.741																							genie 클라값만 — ariel 창 놓침
A16-2-SET-r1	W3	60.5	0	5.745	5.745				7.913	6.600	31.800				2268.40	426.72	1.18	1832.59	0.69	5.51					0			write cov -3.6702 ***
A16-3-GET-r1	W1	59.6	12.691	0	12.691	23.289	19.600	72.600							511.87	118.70	0.62	369.26	4.66	15.27					0	0		+0.0221 OK
A16-3-MIX-r1	W2	60.4	9.582	1.063	10.645	23.170	18.300	97.800	9.664	8.500	31.800				624.92	152.74	0.73	448.27							0			+0.0017 OK
A16-3-SET-r1	W3	60.5	0	5.756	5.756				7.970	6.700	31.900				2257.12	429.49	1.19	1818.48							0			+0.0006 OK
A16-4-GET-r1	W1	60.0	11.956	0	11.956	24.849	20.800	83.600							566.74	124.53	0.61	416.75	5.34	16.29					0	0		+0.0546 OK
